"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;11.79;15.47;7.82;78.6;91.2;64.2;2.48;271.9;8.09;230.7;10.69;1.36
0.2;16.78;19.66;14.07;58.29;81.9;44.38;4.45;68.35;10.81;33.25;6.26;2.91
0;12.64;17.29;8.7;65.61;86.1;33.78;1;15.21;3.81;247.8;9.12;1.29
0;14.21;18.42;10.85;58.91;79.7;42.18;1.19;18.02;3.96;252.1;11.64;1.43
0;11.2;15.74;6.34;64.99;85.7;47.27;1.5;297.1;5.95;205.3;11.97;1.35
0;13.37;18.17;9.58;50.16;65.13;35.58;1.32;26.43;5.88;320.5;11.96;1.63
0;12.19;17.37;8.16;65.58;84.4;46.47;0.93;318.9;4.09;271.7;11.49;1.17
0;11.29;15.35;7.83;63.08;79.5;49.86;1.4;298.8;4.66;261.8;11.53;1.32
0;11.91;14.02;9.92;79.3;88.2;67.92;1;298.9;4.37;251.2;4.37;0.89
0;14.19;17.66;11.62;41.76;54.58;26.87;4.5;280.8;13.67;252.5;12.3;3.82
0;13.33;17.91;9.79;82.9;91.8;65.55;0.93;54.51;3.45;69.47;11.34;1.06
0;12.69;17.45;9.06;72.1;91;54.81;1.07;317.1;4.18;268.2;11.06;1.17
0;12.45;17.52;9.47;64.11;76.9;46.29;0.85;36.1;3.28;223.1;10.45;1.17
0;12.93;17.98;9.2;71.1;97.6;44.78;0.82;339.6;4.25;279;9.67;1.1
0;11.27;15.51;6.84;50.29;68.28;26.44;1.83;61.42;8.34;78.2;11.57;1.88
0;13.77;17.88;10.69;89.9;99.7;73.2;1.01;290.7;4.57;244.4;6.7;0.9
0;11.54;15.53;9.06;55.3;71.1;44.48;0.76;22.62;3.26;244.8;7.92;1.08
0;14.55;19.14;10.01;61.74;91.7;34.48;0.89;22.21;3.41;86.8;11.07;1.26
0;21.72;25.85;17.7;76.3;92.5;60.51;1.14;78.1;3.83;70.1;20.03;3.33
1.2;21.38;24.35;17.77;56.63;82.9;38.19;3.42;75.5;9.68;111.2;8.02;3.66
0;23.63;28.69;20.25;55.42;77.8;35.6;3.94;247.4;9.88;247.5;18.72;5.62
0;21.91;26.34;17.78;67.37;86.2;44.19;0.88;74.6;3.63;112.4;20.61;3.4
0;21.03;26.48;17.58;73.3;88.5;47.29;1.18;266.5;4.7;252.4;20.28;3.51
0;21.54;27.49;15.9;69.03;88.7;42.29;0.89;84.3;3.37;96.6;18.1;3.19
0;22.16;27.42;17.72;63.91;86.1;38.17;0.78;105.3;4.14;132;21.1;3.47
0;19.64;23.67;15.64;64.75;82.1;53.2;1.3;290.7;5.3;221;20.35;3.29
0;20.63;24.22;17.45;73.6;85.5;57.52;1.36;295.4;5.5;235.9;16.03;2.95
0;20.5;25.63;16.18;60.9;84.8;37.74;1.16;301.6;5.7;229.2;20.32;3.5
0;24.61;27.32;22.51;45.38;56.45;36.5;3.39;61.04;8.54;92.6;19.55;5.67
0;19.52;23.48;16.46;76.8;91.7;53.47;0.76;78.7;3.66;185.6;18.4;2.86
14.8;24.15;26.68;19.54;63.43;97.1;45.17;3.31;73.1;10.63;71.3;14.17;3.82
0;20.56;25.78;17.07;68.99;84.3;49.08;0.66;317.9;3.6;244.5;20.06;3.15
0;21.57;25.99;17.67;76.1;92.8;56.32;1.18;262.3;4.85;253.1;19.11;3.26
0;20.7;23.97;17.47;76;84.9;58.16;0.82;71;4;93.5;11.6;2.27
9;21.33;25.39;18.28;84.7;96.4;57.52;1.1;285.9;5.7;61.47;9.59;2.17
0;19.51;23.79;16.03;71.4;84.6;40.88;1.19;61.83;4.56;90.6;13.75;2.32
0;17.88;22.24;13.54;59.04;78.9;37.98;0.84;55.31;3.86;123.1;15.29;2.06
0;15.35;19.91;11.92;56.19;76.8;34.21;1.98;284.3;8.04;260.8;15.89;2.72
0;15.26;19.5;11.79;53.43;69.44;42.06;1.08;12.51;4.24;238.2;15.41;2.06
0;17.75;21.92;14.56;60.27;77.8;44.48;1.02;67.34;3.4;245.4;14.98;2.16
0;19.58;24.61;14.97;68.51;85.1;45.41;0.82;102.9;3.2;220.4;13.39;2.05
0;15.87;19.65;12.28;45.84;61.64;31.79;1.93;74.7;5.28;118.2;16.72;2.85
16.4;13.92;16.79;11.25;77.3;90.1;52.39;2.1;256.3;7.76;265.1;5.44;1.7
0;18.84;22.15;16.19;78.4;88.3;64.38;1.04;291.3;4.33;253.9;6.02;1.44
0;17.07;21.61;13.02;47.85;60.54;30.84;1.15;333.6;5.16;4.13;15.63;2.37
0;18.34;23;15.37;68.92;85.6;54.62;0.9;338.4;3.91;239.6;14.52;2.04
0.2;16.18;19.6;13.9;78.4;91.4;66.22;1.94;303.4;8.43;289.8;13.31;1.94
0;16.37;21.39;12.57;47.29;64.62;35.37;0.83;312.6;3.86;203.7;14.7;2.02
0;19.29;23.97;16.06;65.09;90.1;46.24;0.98;57.87;3.58;81.3;13.96;2.15
28.8;20.45;23.25;12.78;55.6;99.9;47.29;4.38;60.25;15.11;259.6;11.89;3.09
0;18.64;23.09;15.32;61.05;84.8;45.71;0.6;55.09;2.63;69.03;12.56;1.78
0;19.23;22.37;15.99;64.24;82.7;49.21;1.9;74.7;6.3;109.8;15.03;2.6
0;14.17;19.68;9.73;71.1;92.1;41.39;0.87;38.56;4.43;74.1;14.4;1.82
0;12.92;17.77;9.44;74.7;88.1;58.79;1.13;317.7;3.65;240.4;11.72;1.25
0;14.07;17.12;11.46;60.67;79.6;42.85;1.23;15.02;5.79;52.76;4.88;1.43
1;12.24;15.36;8.56;67.7;88.5;43.45;3.67;275.2;11.08;250.1;6.43;2.16
7;13.86;17.3;12.32;70.2;90.8;44.05;3.65;272.8;11.32;258.7;6.29;2.29
0;11.05;14.6;6.14;59.9;73.2;47.35;2.46;282;9.05;252.9;11.53;1.81
0;16.56;19.98;13.61;64.64;84;47.98;2.14;77.8;5.56;114.1;12.09;2
0;13.26;16.57;10.6;67.76;85.1;57.83;1.5;327.8;6.92;261.3;11.91;1.38
0;9.63;12.8;5.68;47.83;59.08;36.62;2.48;302.7;9.76;249.1;12.66;2.01
0;12.65;16.7;9.32;39.37;55.51;24.52;1.07;30.75;3.75;129.9;12.91;1.52
0.2;11.92;14.63;8.84;59.19;77.1;43.88;3.22;260.3;10.63;276;9.02;2.14
0;15.18;18.92;12.43;72.1;90.4;56.49;1.03;48.38;4.09;112.6;10.89;1.28
0;10.18;14.43;5.76;52.01;67.74;37.77;1.32;338.4;5.4;263.4;11.82;1.43
0;12.76;16.72;9.06;37.5;61.91;19.24;1.78;7.91;7.99;44.82;7.22;2.21
0;15.6;19.28;12.83;66.33;84.2;50.01;1.07;311;4.23;229.9;10.72;1.4
0;13.8;19.48;10.62;66.7;96.6;43.6;0.42;22.14;2.72;230.7;12.8;1.02
0.4;15.82;19.16;13.23;67.05;89.6;48.55;1.71;64.05;5.24;47.88;9.21;1.65
0;11.16;15.58;6.84;57.86;94.3;25.81;1.43;8.87;6.53;265.4;11.62;1.54
0;14.2;18.4;10.41;64.95;88.7;45.72;0.69;357.8;3.49;264.4;11.01;1.13
0;15.29;20.44;10.57;48.18;63.31;31.88;1.14;10.52;4.74;231.9;14.57;2.09
0;13.56;17.95;10.38;48.43;74.8;33.41;1.83;56.85;5.78;118.1;14.88;2.35
0;8.36;12.12;4.31;40.5;66.4;14.43;2.08;312.1;9.1;250.5;11.22;2.27
0;13.74;18.21;10.44;81.5;90.8;64.23;0.71;333.4;3.48;236.4;12.78;1.42
0;9.21;13.11;6.54;52.61;67.8;38.33;1.64;305.4;5.97;264.6;15.25;1.9
0;12.91;17.55;9.78;61.08;73.6;43.09;0.78;322.8;3.95;231.1;14.48;1.6
0;11.33;15.08;8.64;61.07;72.6;48.11;1.33;55.5;4.73;91.8;11.18;1.67
0;11.83;15.63;8.84;71.9;83.3;56.84;1.7;328;6.6;273.2;13.88;1.74
12;9.39;11.21;8.03;73.5;87.2;45.39;1.45;278.2;8.95;266.2;1.94;1.22
0;11.48;15.35;8.11;50.95;62.56;33.5;1.66;58.92;6.28;126.9;15.91;2.16
0;9.81;14.36;6.89;48.3;67.63;28.72;1.11;315.7;4.91;226.5;13.3;1.71
0;12.05;17.31;7.58;59.52;81.2;39.7;1.12;331;4.64;242.8;14.28;1.75
0;12.7;17.38;8.26;68.2;88.4;48.25;1.11;308.8;5.48;247.7;14.71;1.68
0;13.37;19.27;8.99;53.59;72.9;38.43;1.21;17.22;7.08;256.1;10.86;1.89
0;10.74;14.63;5.62;33.14;43.85;17.9;0.96;312.3;5.56;257.6;15.57;1.72
0;15;21.84;9.6;63.83;87.8;38.5;0.41;38;2.06;249.6;15.58;1.52
0;12.32;16.79;8.06;82.8;99.9;58.08;1.68;275.6;6.94;281.3;12.34;1.59
0.4;13.07;15.85;10.33;81.7;97.4;60.88;3.08;264.1;8.57;278.9;11.38;1.77
2;11.21;13.27;8.08;72.6;95.9;37.03;2.35;265.7;7.56;223.5;5.74;1.89
1.2;13.87;17.84;10.64;76.4;88.3;60.27;3.54;267.8;10.85;242.8;14.58;2.59
0;13.1;19.23;7.41;68.72;88;35.56;1.35;288.7;4.87;253.6;17.96;2.65
0.2;9.18;12.85;6.39;62.24;88.3;32.45;1.95;65.35;5.88;99;9.68;2.08
0;7.65;11.1;6;60.59;82.2;44.2;3.31;50.3;9.96;31.17;8.22;2.14
6.2;10.44;12.86;8.29;71;87.2;56.46;1.27;108.8;5;105;8.69;1.54
0;15.44;21.99;10.79;72;88.2;40.83;1.57;289.5;7.65;269;20;3.08
0;14.27;18.37;11.46;77.4;90.3;57.56;0.91;278.6;4.01;218.4;18.4;2.36
0;13.07;16.97;8.84;74;86.9;59.61;2.5;278.9;9.44;269.4;19.45;2.62
0;10.32;14.95;6.02;44.24;62.36;27.3;0.91;52.54;5.67;230.4;11.68;1.97
0.2;12.7;16.7;9.53;80;92.8;62.58;1.23;267.8;4.81;286.7;16.55;2.12
