"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0.2;5.29;14.81;-0.81;76.5;90.1;44.14;0.75;215.4;3.75;204.4;9.17;0.88
0;10.8;15.95;6.9;77.2;87.1;59.48;0.85;225.5;3.13;238.9;5.92;0.91
0;9.06;17.14;2.45;66.77;90.9;32.07;1;229.7;6.79;264.1;12.11;1.16
0.2;11.39;16.62;6.84;89.2;98;65.42;0.71;246.4;3.14;258.6;5.81;0.79
0;13.44;22.73;6.11;61.52;92.8;30.8;0.91;239.1;3.37;246.1;10.03;1.38
0.2;9.31;16.95;2.38;70.5;95.7;44.81;1.54;254;5.47;266.4;7.92;1.36
0;10.68;19.47;3.85;51.03;67.31;33.07;0.57;217.2;3.04;193.8;9.65;0.97
0;6.76;15.89;0.26;69.87;95.1;45.36;0.51;232.8;3.18;268.5;10.13;0.75
0;11.87;19.68;5.85;83.6;97;55.41;0.39;156.4;2.6;48.86;9.79;0.78
0.2;7.48;15.62;3.26;83;96.7;52.55;0.6;230.2;3.43;232.6;8.96;0.77
0;14.21;19.82;9.12;46;78.6;26.81;1.4;255.5;5.54;271.7;10.14;1.72
0;18.31;26.24;11.56;69.33;90;35.65;0.87;173.4;5.23;155.3;18.86;3.03
0.2;21.78;29.11;15.62;70.7;95;36.72;1.28;225.6;5.14;254.6;19.46;3.68
0;20.63;31.1;11.77;65.43;91.9;25.66;0.78;199.3;4.07;166.2;18.48;3.3
0;22.19;26.98;17.89;70.7;88.9;42.72;1.88;73.7;7.46;58.77;17.35;3.68
0;19.56;26.31;14.43;76.9;95.8;40.39;0.85;217.1;5.18;206.8;19.18;3.07
0;26.26;33.91;19.55;61.77;88;33.52;1.08;216.5;4.92;208.3;19.02;4
0.2;21.74;25.99;19.22;84.9;97.1;51.86;1.32;71;5.88;66.93;10.33;2.43
0;20.27;27.92;15.1;76.1;96.8;40.99;0.82;207.2;4.99;181.9;17.9;3.06
0.2;21.24;30.44;14.7;54.64;66.44;32.59;0.83;215.4;5.36;192.5;16.75;3.21
0;21.83;26.73;18.16;79.4;96.6;55.93;0.8;95;4.16;97.7;12.38;2.4
0;20.91;28.33;14.51;77.3;96.2;50.53;1.1;71.2;5.28;73.9;16.75;3.08
14.8;14.77;18.2;11.43;79.4;90.6;55.53;0.86;243;4.85;236.8;5.86;1.25
0;20.12;25.84;14.75;80.5;93.4;55.91;0.63;183.1;3.95;116.1;13.76;1.89
0;17.89;23.32;12.83;48.63;64.57;32.86;1.49;283.3;6.1;300.9;11.33;2.53
0.2;17.04;25.04;11.5;82.9;97.4;54.58;0.56;192.2;3.26;148.9;12.94;1.69
0;14.33;21.93;6.11;52.51;72.1;30.47;1.13;248.8;4.09;232.9;14.64;2.12
0;13.82;24.66;6.78;46.56;85.8;20.07;0.99;237.5;3.85;245.1;14.65;2.27
0;17.01;24.86;11.77;83.6;98.7;51.39;0.66;213.1;3.37;100.3;13.15;1.77
3.86;18.35;21.49;14.04;78.5;93.1;60.75;3.26;62.57;9.61;77.8;8.36;2.18
0;16.31;24.6;9.65;80.1;97.5;47.6;0.5;179.5;3.16;228.1;12.92;1.61
0.98;17.46;23.08;12.71;90.4;100;62.14;0.75;200.5;4.79;95.9;7.49;1.35
0;12.5;19.35;7.31;68.71;91.5;41.41;0.86;265.3;4.07;255.4;14.69;1.71
0;6.78;14.61;-0.41;62.6;87;37.74;0.66;234.8;3.64;299.4;9.61;0.89
0;11.37;16.02;4.38;45.96;75.5;28.14;1.73;247.7;7.22;233.2;12.23;1.7
0.2;7.76;15.82;3.05;83.4;97.3;50.62;0.41;244.3;3.04;260.7;4.62;0.73
0;11.25;19.14;6.05;89.3;97.8;64.14;0.38;228.8;3.2;223.8;8.2;0.78
0;8.98;14.15;5.31;57.98;77.5;36.95;1.35;273.9;4.34;257.8;9.92;1.34
0.6;10.71;13.75;7.64;52.93;69.92;40.37;1.51;348.1;6.3;43.49;5.26;1.49
1.2;16.29;22.13;12.43;69.43;96.9;43.14;1.05;269.5;5.51;296.2;8.89;1.4
0;9.43;19.28;2.92;79.2;97.7;41.94;0.62;234;3.66;221.6;10.43;0.99
3.04;12.73;15.3;7.58;84.96;94.8;74.09;0.91;52.9;4.34;68.3;2.38;0.75
0;9.17;15.89;2.86;52.44;80.3;26.74;1.32;275.3;6.09;255.4;10.36;1.49
0;11.65;18.75;6.86;61.9;82.9;35.48;1.01;242.3;4.87;226.3;10.13;1.34
0.2;9.2;18.59;2.51;75.5;88.8;47.99;0.99;207.2;3.77;238.3;10.97;1.46
4.4;7.02;9.57;4.38;76.7;89.5;56.37;1.24;12.5;4.18;47.55;2.1;0.94
0;8.29;16.27;2.12;66.41;93.8;31.4;1;167.2;4.59;127.6;15.12;1.55
