"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0.2;8.13;13.88;3.28;75.3;92.3;50.1;1.82;270.6;5.64;248.4;10.28;1.25
0;11.71;14.65;8.53;75.8;85.8;62.07;1.76;263.5;5.58;261.3;5.51;1.17
0;10.38;15.58;5.64;54.94;76.8;30.95;3.18;247.9;10.99;265.1;9.47;2.4
1;11.61;15.85;8.81;87.8;97;66.68;1.39;303.9;4.75;348.4;6.87;0.97
0;14.26;20.68;9.21;50.66;73.6;30.65;2.14;300.4;6.86;0.19;10.81;2.31
0;9.74;14.78;4.23;64.24;91.6;45.17;3.51;318.7;9.92;334.8;8.48;1.91
0;12.06;16.73;6.99;55.92;73.9;39.87;1.38;237.7;4.01;304.1;10.31;1.41
0;8.9;14.06;5.43;59.73;85.5;31.72;2.1;349.6;8.37;344.2;9.84;1.7
0;13.16;17.99;8.69;77.7;93.4;55.56;1.29;262;5.12;199.6;9.8;1.18
0;8.6;13.77;4.31;77.1;88.2;55.53;1.5;283.1;5.23;170.3;8.87;1.1
0;13.54;19.01;8.74;44.69;71.8;19.77;2.02;271.8;8.23;309.4;10.93;2.27
0;18.25;23.94;13.11;67.86;88;38.26;2.08;243.3;6.14;167.9;19.98;3.7
0;21.01;27.15;15.53;67.07;87.8;41.01;2.08;282.3;6.69;330.5;18.72;3.93
0;20.48;27.83;14.26;57.36;75.7;31.89;1.46;273.1;6.18;121.2;19.47;3.85
0;21.93;25.98;19.29;68.21;81.7;38.13;3.98;41.11;9.1;84.2;14.76;4.69
0;18.31;23.75;13.58;76.2;93.4;47.46;1.62;251.9;6.46;187.7;19.82;3.28
0;25.78;31.18;20.23;55.84;74.4;38.36;1.73;218.7;6.28;159.4;19.66;4.42
0;21.14;24.38;19.56;84.2;92.6;69.38;3.23;40.33;7.71;41.68;12.7;2.79
