"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;8.17;15.75;2.49;72.2;86.7;42.97;0.81;275.7;5.51;180.7;10.55;1
0;8.45;14.47;4.15;83.9;93.5;62.69;0.15;300.3;1.83;153.8;6.29;0.58
0;13.8;17.16;11.14;37.84;52.67;26.51;1.4;271.7;7.44;251.1;11.5;1.78
2.4;11.74;15.55;8.79;91.2;94.1;77.7;0.53;259.1;3.42;142.6;7.03;0.72
0;12.37;18.45;8.33;71.4;86.4;43.98;0.8;301.4;3.7;167.9;10.38;1.11
0;9.24;16.52;4.05;55.52;88.1;32.13;0.54;11.08;3.2;180.4;7.97;0.91
0;12.78;19.46;7.88;86.9;98.9;56.53;0.7;303.1;3.93;155;10.22;0.99
0;16.4;23.17;8.03;75.1;92.2;45.9;0.91;232.5;6.07;160.2;18.36;2.73
0;20.52;26.47;14.09;63.72;80.1;30.97;0.95;25.88;5.36;147.2;19.01;3.27
0;22.77;27.34;18.79;63.94;83.6;46.04;0.88;55.74;5.92;68.43;17.64;3.18
0.2;19.43;23.73;15.03;89.8;100;62.19;0.84;181.7;5.24;172.5;18.49;2.79
0;23.2;26.8;20.74;82.6;94.3;68.67;0.92;64.88;5.6;117.8;12.14;2.39
0;20.6;25.23;16;80;95.8;61.66;1.21;159.6;6.26;152.7;18.67;3.06
0;21.44;25.61;16.39;82.6;96.2;53.37;1.27;288.1;7.31;212.1;17.79;3.1
0;21.85;25.23;18.81;77.8;90.1;60.99;0.63;118.7;4.68;165.2;12.66;2.32
0;22.12;26.69;17.75;80.9;91.5;60.47;0.85;195;4.69;85.6;14.35;2.64
0;19.63;23.73;15.63;80.2;93.2;58.56;0.79;193;5.05;164.6;11.97;1.8
0;18.11;23.19;14.69;40.88;50.18;27.82;1.12;241.8;4.94;264.9;12.78;2.43
0.2;17.45;21.92;13.36;82.9;95.9;55.91;1.04;234.9;5.79;158.5;13.29;1.87
0;16.41;21.65;10.34;68.14;95.2;47.29;0.81;234.9;3.89;196.1;12.98;1.74
0;18.28;24.68;14.11;80.8;95.7;52.86;0.69;4.99;4.2;192.5;13.08;1.85
1.4;19.22;22.83;15.51;79.8;96.2;62.88;2.22;67.94;10.85;146.1;8.54;1.93
0;18.19;23.68;13.92;80.5;90.9;64.24;0.58;32.47;4.56;166;12.28;1.67
0;14.36;21.95;9.29;67.45;90.4;31.52;1.17;332.9;5.5;208.6;14.95;2.21
0;9.51;14.81;4.03;50.09;74.2;31.34;0.73;235.4;4.45;288.2;11.26;1.04
0;12.95;18.43;8.38;37.99;61.77;17.42;0.9;258.6;5.41;263.5;11.48;1.43
0;10.92;17.03;4.9;59.01;85.8;27.77;0.86;247.1;5.98;237.4;7.73;1.25
0;13.5;20.04;9.93;86.2;98.7;62.75;0.55;15.04;2.95;160.9;10.1;0.99
0.2;18.4;23.48;14.65;55.28;78.4;40.7;0.85;272.1;4.29;225;8.55;1.47
0;11.84;20.09;5.87;79.5;96.3;38.26;0.76;345.6;4.09;167;11.01;1.2
9.4;13.28;15.93;11.96;87.6;99;78.6;0.7;42.12;4.89;68.89;3.54;0.71
0;9.59;16.4;2.78;52.87;80.3;22.71;0.77;155.5;5.51;103;12.26;1.14
0;11.55;17.88;6.54;71.7;98;36.25;1.21;340.4;5.97;192.6;9.85;1.4
0;9.11;17.55;0.6;72.6;91.3;42.73;0.84;267.2;5.55;158.4;12.72;1.43
0.8;9.94;11.47;7.64;66.97;89.5;40.85;0.86;229.7;4.3;219.7;2.67;1.04
0;9.59;16.95;3.7;62.82;83.2;31.95;0.67;14.54;4.68;135.7;14.24;1.41
0;7.43;15.09;3.3;65.14;83.6;33.85;0.57;351.3;4.53;191.4;10.33;1.19
0;10.89;17.36;3.97;65;88.3;37.73;1.05;277;4.47;197.3;13.45;1.62
0;10.95;15.44;6.86;37.4;50.78;21.4;1.19;277.5;8.96;286.9;14.35;1.92
0;13.57;20.97;9.09;79.4;97.7;44.88;0.9;354.5;4.63;156.9;13.42;1.67
0;11.12;17.66;5.33;82.6;97.3;51.99;0.82;331.5;4.68;201.3;13.09;1.4
2;13.45;20.2;7.94;69.09;95.6;33.83;0.7;314.6;5.17;327.1;11.67;1.51
0.2;8.37;15.33;-0.29;84.2;95.2;61.4;0.95;247.8;5.27;198.5;17.36;1.86
0;11.33;21.39;0.11;71.8;98.3;36.91;0.96;235.6;4.97;156.5;15.29;2.27
0;12.83;18.69;6.72;62.26;92.8;32.72;1.2;216;6.12;188.2;18.77;2.56
0;8.3;16.15;2.49;43.73;72.3;17.49;0.76;324.7;4.96;162.9;17.59;2.12
0;11.71;16.29;5.84;82.6;95.3;70.3;0.97;189.6;4.97;125.1;16.26;1.89
0;14.4;20.42;8.61;66.24;88.8;38.34;1.23;232.2;6.3;213.4;17.31;2.59
0;12.33;17.93;6.54;53.46;88.6;21.37;1.07;303.6;4.94;114.1;18.68;2.54
0;13.46;19.4;8.62;69.77;89.8;39.29;1.03;327.8;5.07;187.5;17.06;2.39
