"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0.4;9.78;15.44;5.27;86.9;98.6;58.15;0.28;275.9;1.72;244.9;6.8;0.69
0;8.9;15.1;3.12;88.6;98.9;61.84;0.16;211.1;1.81;174.3;5.11;0.6
0;10.2;20.1;3.87;75.4;94.6;37.82;0.66;286;2.99;139.1;8.67;1.11
0.1;10.27;17.16;3.6;60.52;89.7;35.02;1.07;308.8;4.68;9;7.51;1.31
0;14.01;18.1;7.45;54.21;75.5;41.62;1.39;268.4;4.95;244.8;8.19;1.36
0;5.88;15.18;-0.2;82;97.8;47.04;0.5;264.1;3.01;278.7;8.34;0.64
0.2;12.43;17.38;8.66;90.9;99.8;67.12;0.48;290.7;2.65;118.4;5.25;0.66
0.2;6.27;15.98;0.47;83.4;99.8;45.3;0.57;268.6;3.31;193;8.09;0.71
0;10.96;16.71;-0.13;49.92;88.7;27.22;1.76;256.7;6.1;266.3;8.45;1.6
0;17.7;24.3;11.19;78.4;97.2;51.72;0.61;257.4;3.52;69.19;18.16;2.67
0;20.13;26.63;15.18;80;96.3;47.55;0.88;52.18;4.96;119.7;17.32;2.97
0;19.4;25.96;14.65;80.7;95.5;44.55;1.11;10.84;5.35;62.89;13;2.67
0;18.04;26.48;11.72;75.8;97.2;33.14;0.77;321.1;5.17;99.3;18.74;3
0;27.49;33.48;20.5;46.5;75.8;27.2;1.64;269.8;6.14;252.4;18.86;4.66
0.3;20.3;24.3;16.91;87.1;97.1;67.03;0.9;64.55;4.59;87.7;8.82;1.81
0;18.39;24.83;12.46;81.8;99.8;52.09;1;267.2;5.68;123.1;16.19;2.64
0;20.38;29.3;14.12;74;99.6;37.15;0.95;293.6;4.63;73.7;16.26;3.03
0;20.97;25.7;16.85;75;94.4;49.89;0.6;131.9;3.53;144.9;12.81;2.29
0;20.06;27.3;14.6;62.08;96.6;27.41;0.97;278.6;5.51;11.94;18.47;3.2
11.2;13.45;17.82;9.99;84.3;98.4;52.42;0.51;275.7;3.68;233.6;7.1;1.15
0;16.84;22.1;11.25;50.81;87.1;33.28;2.18;338.4;9.31;331.9;10.93;2.74
0;16.83;25.61;11.58;84.2;97.7;45.14;0.54;273.8;3.35;159.3;12.45;1.76
0;15.91;21.36;9.85;52.1;75.9;33.55;1.72;267.3;6.27;242.2;13.57;2.55
0;13.81;23.5;5.13;57.9;86.4;16.81;0.81;284;4.68;94.9;11.04;1.99
0.1;16.41;23.1;10.73;84;97.7;56.83;0.62;235.1;4.04;118.3;11.79;1.49
0.2;17.13;20.45;11.73;84.5;98.5;73.1;2.36;64.43;7.58;102.3;6.72;1.4
0;16.53;23.77;10.99;80.9;98.6;47.36;0.57;267.5;3.37;204.7;12.29;1.53
0;16.8;22.9;12.06;79;94.7;50.83;0.58;229.8;4.14;145.4;12.83;1.56
0.2;10.47;18.18;4.47;80.5;99.1;43.04;0.6;268.8;3.32;176.2;12.66;1.31
0;6.03;11.51;-0.77;67.54;94.5;42.18;0.97;245.8;4.25;214.6;7.57;0.98
0;9.21;13.38;5.79;63;88.5;44.44;1.39;280.1;5.04;293;7.91;1.26
0;10.11;18.43;4.73;87.7;98.1;57.7;0.45;287.8;2.41;174.1;6.95;0.85
0;6.3;13.77;0.4;58.92;84.4;25.62;0.64;293.9;2.87;118.1;8.01;0.99
0;8.79;14.51;2.66;46.23;75.8;30.36;1.14;352.5;6.58;32.5;5.5;1.29
0.6;14.89;20.63;11.12;68.7;98.1;38.49;1.27;317.9;6.88;325.4;8.38;1.41
0;7.86;17.31;0.74;86.2;99.8;56.86;0.45;262.1;2.63;122.6;8.43;0.68
0;11.98;14.91;7.86;83.1;99.9;66.86;0.46;32.94;3.65;62.35;3.8;0.65
0;6.88;15.31;1.4;48.36;77.9;24.56;2.2;301.5;8.88;329.5;8.56;2.05
0;9.45;17.71;3.54;70.1;92.7;30.56;0.6;277.8;2.48;252.8;9.46;0.87
4;7.21;9.93;3.61;80.1;98.3;59.39;0.59;267.5;4.18;251.1;3.26;0.76
0;8.95;15.43;4.65;50.78;68.55;27.61;1.16;309;3.95;4.17;11.18;1.76
0.29;10.11;18.63;0.07;57.54;90.3;27.55;0.92;291.8;4.32;203.3;12.23;1.66
0;15.93;24.1;6;46.34;88.3;19.81;1.84;275.5;7.19;251.6;12.25;2.88
0;12.26;20.43;4.45;51.58;82.6;17.08;1.22;292.2;7.08;310.2;8.04;2.1
0;8.43;14.11;1.94;44.09;80.5;24.89;1.76;284.4;6.55;302;12.4;1.86
0;12.4;22.03;5.13;68.91;96.1;35.82;0.76;253.7;4.54;106.8;9.57;1.44
0.2;10.39;18.45;5.2;91;99.9;56.45;0.09;278.2;2.78;119.2;9.68;0.83
5.83;8.58;15.71;2.4;77.5;96.8;41.83;0.58;289.2;5.21;121.5;7.07;1
0;15.1;26.15;7.73;72.3;97.7;27.48;0.59;270.5;3.54;51.03;17.36;2.52
0;11.73;19.42;6.01;79.9;99.3;47.15;0.72;250.1;4.37;227.3;11;1.73
0;13.32;20.1;4.93;53.2;94.4;27.48;1.47;276.1;5.76;280.7;17.81;2.81
1.3;11.2;16.16;3.58;32.23;52.38;14.52;1.36;18.19;4.74;152.9;11.5;2.48
0;9.73;17.83;1.33;79.6;97.5;39.75;1.02;85.5;4.44;171.7;17.08;2.2
3.03;8.11;13.18;3.79;74.3;91.3;49.51;1.02;310.5;5.35;326.3;6.24;1.32
0;10.17;16.11;3.13;63.56;87;40.03;0.95;280.8;7;271.7;7.73;1.56
0;15.27;25.1;6.72;60.15;85.2;29.01;0.87;267.2;3.64;187.2;15.92;2.52
0;11.85;22.1;3.73;39.57;78.4;12.27;0.99;281.4;3.8;224.5;16.8;2.62
0;11.77;20.56;5.94;76.2;99.9;37.82;0.88;232.7;5.5;103.1;16.95;2.21
7.44;9.94;14.46;4.07;84.5;97.4;48.72;1.33;257;10.39;279.3;6.36;1.44
0;15.07;22.64;7.39;40.13;80.6;21.03;1.24;308;5.17;70.8;22.23;3.82
0;10.6;16.71;4.74;74.8;96.5;42.83;0.71;288.7;3.89;65.83;14.07;2.15
0;12.48;20.23;5.65;60.27;92.7;28.35;0.95;279.1;4.55;161.1;19.12;3.01
0;15.9;24.35;8.12;67.77;95.3;34.68;0.88;202.9;4.49;133.8;22.4;3.55
0;13.76;22.56;5.06;64.72;94;33.28;1.16;130.9;5.06;134.4;23.63;3.65
2.02;16.2;21.83;11.25;53.04;92.9;26.21;1.98;272.6;7.17;263;22.18;4.11
0;12.35;18.9;4.53;72;92;36.22;1.04;117.9;5.28;125.9;15.54;2.59
0;14.49;21.7;8.12;66.69;93;35.35;1.16;172.2;5.67;106.7;22.21;3.43
0;11.92;17.18;5.33;48.34;88.5;29.29;1.48;331.3;5.48;99.5;18.7;3.03
0.2;12.74;22.63;5.53;68.47;99.9;22.81;0.85;352.9;5.24;331.8;18.16;2.98
0;11.98;19.56;3.2;52.47;82.9;28.35;1.13;175.7;5.39;86.6;21.47;3.21
0;15.35;21.31;8.46;71;90.1;47.73;1.17;42.04;5.47;144.8;25.18;3.97
0;16.47;21.46;10.32;55.35;89.5;31.36;1.28;306.1;6.1;39.34;20.97;3.82
2;17.41;23.23;13.58;84.9;97.7;58.69;0.96;350.1;5.02;93.9;17.29;3.11
0.1;16.58;21.3;10.58;75.5;96;49.09;1.25;105.7;5.14;82;26.28;4.14
0;13.91;20.5;5.93;62.58;92;30.62;1.32;80.2;5.23;142.2;28.25;4.34
1.52;12.2;19.7;5.59;75.3;95.2;38.35;0.78;154.6;5.08;177.9;26.24;3.71
0;19.05;25.16;11.32;53.59;84.4;30.68;1.42;104.3;5.89;100.4;27.1;4.9
0;21.45;31.01;10.59;53.2;95.5;18.47;1.12;277.5;5.83;264.8;18.18;4.33
0;14.75;21.1;8.73;30.37;45.19;16.14;2.09;340.2;6.86;6.16;27.82;5.32
0;14.2;22.36;7.2;57.18;93.1;18.81;0.91;178.2;5.81;98.2;26.86;4.19
0;12.79;18.24;5.74;53.99;88.7;32.23;1.32;170;5.05;91.4;25.71;3.87
0;18.99;26.3;12.04;69.14;97.9;33.75;4.07;258.5;7.59;290.2;25.67;6.03
0;24.01;30.21;18.44;56.88;89.1;34.67;0.98;99.3;4.48;157.2;26.38;5.33
0.1;17.13;22.1;11.32;71.5;93.9;45.56;1;294.6;5.12;120.6;20.04;3.61
0;22.72;32.75;13.11;51.56;84.5;19.54;1.13;181.9;5.39;118.3;29.63;6.07
0;19.7;26.95;10.45;38.95;66.93;21.01;1.42;321.1;5.9;85.6;30.01;5.74
0;18.31;24.49;10.05;62.09;93.4;33.61;1.55;122.4;7.06;103.8;27.81;5.04
0;21.3;25.17;16.71;71.5;91.1;50.69;1.21;101.7;6;129.6;26.66;4.88
0;18.97;25.77;11.79;53.87;85;17.08;1.54;106.1;5.99;114.7;29.72;5.68
0;21.55;28.3;14.05;70;99.4;34.48;0.73;115;4.62;113.7;27.54;5.01
0;19.97;25.37;12.86;72.1;94;47.82;1.29;83.2;5.3;132.4;28.17;4.99
0;25.49;32.72;17.22;62.87;92.7;30.53;1.08;112.8;4.95;47.05;28.98;6
0;25.23;32.61;16.78;56.08;87.9;28.54;1.26;125.5;4.97;158.4;28.71;6.11
0;23.91;28.41;18.32;72;90.6;51.94;1.17;113.9;4.71;93.2;22.29;4.59
7.25;21.27;27.43;16.11;70.2;95.4;32.48;0.91;3.57;4.84;88.8;12.67;3.2
0;21.71;28.61;13.19;65.52;90.5;34.01;1.33;120.7;5.37;115.6;29.98;5.73
0;23.08;28.81;16.51;71.5;95.4;41.81;1.57;92.2;7.39;84.5;27.22;5.51
0;25.09;30.95;17.51;62.15;83.5;39.55;1.65;113.6;6.6;94.6;25.59;5.71
0;24.52;29.23;18.25;72.3;96;51.82;1.51;117.8;6.14;90.1;26.04;5.29
0.6;19.93;26.1;14.59;61.09;88.2;36.02;1;168.2;5.29;111.7;22.68;4.41
0;24.97;30.17;18.92;68.93;92.7;45.96;1.05;113;4.75;166.9;28.63;5.67
0;27.08;30.87;21.46;71.8;93.1;54.03;1.16;86.3;5.12;84.1;27.85;5.63
0;26.48;30.61;21.96;64.11;83.7;41.21;1.4;85.6;4.89;149.1;26.41;5.67
0;24.13;28.54;19.57;74.6;92.5;53.41;1.21;102.8;4.88;166.2;22.23;4.53
0;26.13;32.81;19.71;75;95.5;42.14;1.05;151.5;5.21;86.2;24.39;5.2
0;24.5;31.81;16.25;56.05;80.8;28.07;1.25;121.8;5.66;91.7;27.67;5.77
0;24.91;30.08;18.52;73.6;93.5;54.88;1.35;115.9;5.3;82.7;25.79;5.15
0.8;23.01;27.3;19.12;73.4;93;51.09;1.27;40.5;7.15;263.8;22.38;4.46
0;26.06;29.96;20.52;71.8;89.1;53.42;1.63;97.7;5.68;151.7;22.62;4.92
1.61;25.64;30.5;21.78;81.7;94.6;56.56;0.76;232.1;4.14;90.5;10.18;2.63
0;26.02;32.1;19.92;72.2;93.4;43.22;0.9;122.6;4.32;157.7;25.97;5.28
0;23.84;29.94;17.09;68.83;91.8;42.79;0.83;153.2;4.46;59.72;25.41;4.62
0;23.5;28.63;18.92;69.81;91.5;46.42;0.93;122.8;4.61;126;17.78;3.65
0;24.57;29.48;19.64;75.3;93.3;53.01;1.17;130.8;5.1;121.4;19.11;3.95
0;20.53;26.48;14.38;37.44;68.72;20.48;1.09;300.3;4.98;120.7;19.37;4
0;22.34;29.01;16.31;71.6;92.8;35.81;0.92;284.3;5.14;124.8;22.54;4.25
