"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;13.1;17.3;7.4;60.88;80.9;47.83;2.41;246.1;9.27;218.2;9.13;1.72
0;6.62;14.38;0.76;69.27;85.9;45.04;0.72;279.8;2.99;286.8;8.83;0.81
0;13.6;19.89;8.87;86;99.5;60.69;0.74;78.1;4.24;68.65;7.48;0.89
0.2;7.25;16.3;0.42;84.3;100;51.43;0.63;123.76;1.46;120.92;8;0.76
0;12.82;18.04;6.88;38.22;52.82;19.01;3.49;246.6;8.62;253.9;8.83;3.33
0.2;20.07;23.81;18.43;91.7;99;70.1;0.96;199.4;4.71;276;7.49;1.64
0.2;19.15;27.65;11.2;75;98.5;38.14;0.94;185.4;5.66;159;14.95;2.8
0.2;21.07;31.23;13.4;70.3;98.8;25.18;0.82;103;4.8;138.7;14.47;2.99
0;20.84;25.72;17.11;75.1;90.4;53.33;0.77;120.4;3.72;99.9;9.52;2.06
0.2;18.71;25.72;12.53;82.4;100;52.66;1.17;95.1;5.45;76.2;18.58;3
0;18.44;24.86;14.65;80.6;96.7;44.73;0.93;293.7;4.88;284.3;13.44;1.99
6.04;16.28;19.45;13.86;90.1;98.2;71;2.33;69.9;7.91;73.1;5.52;1.37
0.2;16.01;23.86;10.34;84.6;100;47.53;0.77;115.1;4.49;93.7;10.8;1.62
0;16.33;23.21;11.8;76.7;97.7;52.08;0.86;107.3;5.37;101;10.92;1.65
0;9.92;18.03;2.76;77.2;99.3;48.02;0.63;91.7;3.25;150.7;12.36;1.32
1;7.63;10.46;3.15;70.6;95;55.57;1.44;42.39;6.5;8.25;1.1;0.93
4.4;14.83;20.82;10.8;73;99.5;42.68;1.63;85;6.35;107.6;8.21;1.59
0.2;8.99;19.16;1.76;74.7;95.2;35.42;0.58;39.62;2.04;69.89;10.54;0.92
0;10.79;13.98;8.75;94.4;100;76.3;0.36;271.8;1.86;93.8;3.43;0.59
0;6.5;13.45;-0.29;47.39;71.6;34.57;2.12;256.8;9.04;292.3;7.69;1.73
0;10.41;18.1;1.56;63.26;95.2;36.95;1.08;234.1;3.83;252.1;9.4;1.22
0;13.77;18.9;8.61;55.07;70.9;35.17;3.62;251.7;10.04;281.8;7.87;3.08
0;8.07;11.26;5.35;43.21;55.84;32.77;4.57;96.4;10.75;82.6;12.75;2.94
0;12.65;21.74;5.15;70.8;95.6;41.67;1.03;84.3;5.23;82.3;12.05;1.67
0.2;11.79;20.42;6.21;81;100;40.08;0.57;121.4;2.72;128.6;9.23;1.23
14.33;10.01;16.37;5.22;74.2;99.1;42.83;1.94;252.6;7.17;268.1;7.47;1.68
0;13.79;16.65;9.54;56.69;66.26;37.64;3.84;251.1;9.38;251.1;3.59;3.01
0;16.49;24.4;7.61;53.03;81.1;29.93;1.93;64.8;6.05;78.1;15.63;3.34
0;12.44;20.34;5.68;33.31;49.89;14.94;2.14;235.9;5.84;274.2;18.03;3.73
0;14.01;20.61;7.09;62.77;88.9;39.74;1.41;222.2;6.03;238.6;15.24;2.49
0.6;12.45;19.89;5.41;73.4;100;43.68;2.84;228.4;11.4;294.8;9.58;2.57
0;13.03;18.5;8.07;82.3;98.7;54.29;0.93;8.42;4.63;41.96;13.35;2.2
0;14.84;20.7;9.15;64.49;92.5;43.88;2;281.7;7.52;278.3;23.28;3.72
0;10.88;18.28;5.16;47.5;74.4;28.08;1.71;169.19;4.73;76.6;22.87;3.62
0;15.74;21.95;7.28;42.89;71.3;22.01;2.39;263.5;7.86;294.3;21.59;4.45
0;14.12;22.07;5.15;42.36;67.91;24.54;1.27;109.7;5.5;93.2;20.17;3.55
0;19.41;27.85;10.07;55;86.4;26.26;1.62;46.92;7.57;34.92;27.37;5.37
0;23.07;31.57;12.59;42.39;83.4;17.26;2.04;244.8;8.07;282.5;22.58;5.9
0;13.05;20.68;5.62;52.53;92.9;22.27;1.32;80.3;7.57;69.59;25.03;4.11
0;15.71;21.74;10.62;56.81;87.9;28.47;1.23;278.9;7.27;70.1;25.13;4.25
0;12.71;19.34;6.55;49.64;76.5;30.34;1.33;260;6.99;102.4;22.63;3.78
0;16.65;23.92;11.06;71.9;98;39.46;1.04;25.75;5.88;24.24;18.8;3.62
0;20.93;30.16;13.73;71;95.3;29.92;1.28;112.8;7.79;75.3;26.92;5.48
0;20.65;29.38;11.74;59.3;95.6;19.79;1.67;56.18;7.86;86;30.98;6.27
0;21.26;29.7;13.86;70.2;96;37.59;1.29;80.6;6.07;89;24.68;5.07
0;21.51;28.04;14.46;62.97;95.8;30.39;1.62;92.6;7.62;99;23.39;5.08
0;25.59;33.87;15.85;58.07;96.3;20.85;1.55;317.2;7.06;27.15;29.81;6.69
0;25.05;31.96;18.57;69.47;96.5;33.78;1.63;66.23;7.3;106.4;27.25;6.06
0;25.4;33.69;20.1;73.4;99;42.78;1.32;338.1;6.31;68.12;26.12;5.78
0;21.43;27.26;15.66;54.16;79;30.59;1.42;96.5;6.04;87.4;21.42;4.79
0;26.06;33.42;17.78;62.16;94.7;33.31;1.51;88.7;7.78;286.6;24.38;5.74
0;27.01;35.07;19.44;61.36;91.5;25.91;1.23;299.5;6.46;29.32;26.38;5.98
2;22.21;26.32;19.1;84.2;97.6;60.19;1.38;38.66;5.62;79.4;13.36;3.04
0;26.45;32.03;21.03;66.4;94.1;40.85;2.04;69.85;7.13;96.4;26.01;5.98
0.2;26.84;32.7;21.03;72.3;95.3;36.14;1.14;42.76;6.76;172.4;11.53;3.47
0;26.95;34.61;20.04;75.1;100;42.37;1.36;72.3;5.94;70.3;28.12;6.11
0;26.73;35.54;19.36;68.87;96.8;35.5;1.05;290.3;4.73;340.1;23.21;5.03
0;23.88;29.77;20.36;79.6;96.9;53.24;1.45;73.5;7.57;86.7;19.62;4.12
0;23.88;30.5;17.71;71.5;91.5;50.04;1.75;90.4;7.57;74.5;20.67;4.48
4.58;22.07;26.12;19.64;80.2;97.1;57.52;1.09;88;4.16;88.8;9.15;2.31
0;25.51;31.76;19.78;72.6;100;46.18;1.21;76.4;5.87;72.3;23.23;4.73
0.6;7.6;8.74;6.14;98.7;100;91.5;0.45;249.7;2.3;238.3;1.51;0.47
0;11.41;24.21;0.96;48.89;83.6;20.27;1.02;329.9;5.56;48.67;10.89;1.72
0;15.89;19.57;12.19;43.42;55.26;33.22;4.61;235.5;12.04;208.4;6.21;3.88
0.2;9.56;14;2.89;63.31;83.2;48.59;1.75;273.4;6.14;284.6;3.62;1.33
1.99;10.91;16.18;5.88;67.39;96.4;46.44;2.69;248.8;9.96;266.5;7.96;1.7
0.8;21.52;29.17;14.53;59.76;83.9;32.92;0.94;276.6;7.76;99.2;16.14;2.96
0;18.32;27.65;10.34;73.1;98.7;31.46;0.82;74.6;4.77;72;14.43;2.56
0.39;20.54;25.85;17.98;78.3;95.7;50.05;1.17;319.1;6.52;84;14.77;2.66
0;21.77;28.77;16.91;71;89.7;43.45;0.78;139.7;4.66;87.2;15.86;2.76
0;17.96;25.39;13.73;88.7;100;60.19;0.74;113.5;4.28;105.7;14.53;2.25
0;10.46;18.02;3.7;60.82;92.3;23.47;0.81;262.9;4.18;91.9;13.08;1.41
0.2;13.58;24.53;5.02;83.2;100;34.46;0.72;58.48;3.11;83;11.39;1.55
0;13.89;20.14;7.88;51.83;76.8;27.08;1.51;246.2;4.97;294.8;12.55;2.08
0;9.77;19.01;1.17;50.21;79.3;24.27;0.7;107.9;3.2;9.09;11.75;1.36
0.2;14.94;17.85;12.54;68.23;83.1;60.25;1.68;243.2;5.7;293;5.62;1.48
0.2;6.9;16.03;-0.18;90.5;100;54.96;0.82;91.3;4.14;86.3;9.59;0.76
0;6.96;16.16;-1.44;57.24;85.3;23.35;0.97;329.6;4.71;70.8;10.14;1.14
0.2;11.15;13.99;7.6;97.1;100;85.5;0.37;49.8;1.85;86;2.4;0.54
0.2;12.15;17.5;8.61;92.9;100;63.5;0.56;110;2.86;289.3;5.05;0.73
0;15.68;18.51;13.93;52.81;63.87;41.15;3.57;244.7;10.21;257.1;6.55;2.89
0;10.11;18.36;2.63;81;100;39.62;0.75;95.9;3.7;94.7;9.91;0.92
1.6;10.11;12.2;7.54;54.33;95.8;35.57;5.11;262.4;13.3;266.4;4.81;2.34
1.4;7.3;10.79;5.22;90.5;100;69.08;0.77;166.4;4.45;258.3;4.96;0.82
0;17.34;21.23;13.66;56.51;76.6;44.76;6.73;256.2;13.81;270.9;7.45;4.06
0;6.79;12.79;-0.43;74.2;91.9;52.32;1.09;64.5;5.76;78.5;10.92;1.27
0;7.41;12.05;4.36;48.79;64.46;34.96;1.82;281.7;6.81;318.1;8.1;1.87
0;9.9;19.08;3.02;59.8;98.3;24.47;0.89;99.7;4.31;95.3;19.47;2.51
0;12.29;21.14;2.89;66.85;93.6;31.14;0.97;268.7;3.84;278.1;18.57;2.63
0;9.1;15.38;5.42;52.5;74.9;32.15;2.15;267.9;6.71;293.9;13.8;2.72
0;19.08;30.78;10.68;49.28;91.3;12.13;0.77;48.08;3.56;100.8;19.69;3.33
2.79;16.65;25.66;10.34;61.64;95.5;30.66;1.77;166.3;8.89;281.7;15.07;3.4
0;17.76;28.17;9.14;68.98;98.5;35.85;1.25;63.68;8.65;266.5;21.22;4.07
0;12.4;18.02;8.74;80.1;97.4;57.82;1.21;284.9;5.38;280.2;18.02;2.69
0;15.82;24.19;7.75;54.31;85.9;27.93;1.44;174.3;7.12;303;23.67;4.21
0;14.86;22.4;9.08;74.3;100;43.14;0.85;67.77;4.91;85.9;23.51;3.53
1.39;12.6;17.9;7.39;54.17;85.6;33.88;2.9;224.6;10.16;257.7;12.61;3.28
0;23.15;35;11.79;50.28;91.8;14.72;0.98;34.57;4.72;72;27.96;5.77
0;20.72;28.5;12.79;59.14;93.9;30.19;1.62;76.1;6.7;87.4;28.19;5.57
1.95;13.49;17.71;9.61;82.9;96.1;64.12;1.07;75.7;5.47;87.2;8.67;1.84
0;19.78;27.84;13.05;71.09;100;38.7;1.13;20.13;4.1;143.6;21.68;4.29
0.8;17.72;23.6;13.26;75.1;100;39.87;1.85;85.2;7.24;89.4;18.14;3.83
0;22.58;30.56;16.05;73.7;97.3;39.38;1.52;357.1;7.9;12.77;27.24;5.66
0;22.63;29.17;16.85;73.8;96.9;47.19;1.83;67.58;8.17;58.11;25.48;5.31
0;24.74;34.28;16.71;68.21;94.6;36.84;1.32;30.96;6.56;77.7;27.79;6.1
0;22.8;30.76;16.66;69.41;96.7;45.18;1.12;83.3;5.33;90.2;24.87;5.09
1.39;21.51;27.59;15.13;62.33;90.8;38.13;0.98;172;4.09;317;18.39;3.97
0;23.36;30.63;17.78;54.33;82.5;31.65;1.76;2.55;7.4;21.01;29.05;6.31
0;28.38;38.47;20.1;62.27;97;29.11;1.12;333.1;5.01;80;28.5;6.63
0;28.19;36.67;18.78;54.78;92.9;26.18;1.5;53.94;7.19;75;28.51;6.8
0;27.11;37;17.65;61.15;95.5;23.85;1.5;87.2;6.62;83.7;26.88;6.62
0;27.46;36;18.78;54.77;87.8;24.25;1.16;50.6;5.28;328.5;25.09;5.94
0;29.93;40.37;19.56;50.3;96.4;9.59;1.14;7.73;5.96;18.82;26.57;6.42
0;26.62;34.87;21.1;78.1;97.3;39.23;1.73;66.74;7.79;105.1;25.2;5.97
11.7;21.2;24.33;16.43;80;98.7;51.76;1.2;61.56;6.53;97;11.47;2.69
0;21.21;28.23;17.51;59.07;77.1;39.58;1.51;90;5.76;81.8;19.74;4.51
0.79;25.32;31.1;22.1;84.5;100;56.64;1.27;25.34;4.93;351.2;10.83;2.94
0;26.33;35.6;20.16;66.2;97;25.25;1.03;327.7;5.66;264.2;18.72;4.42
0;23.52;31.7;16.78;74;96.9;32.58;0.94;270.4;5.51;215.7;18.84;3.91
0;25.14;31.68;20.83;71.2;91.7;39.9;1.12;293.5;5.17;70.2;20.11;4.25
1.39;19.99;28.5;12.93;48.95;91.3;23.52;1.31;274.7;6.16;288.8;21.61;4.3
2.17;21.16;25.54;18.97;93.4;100;70.6;0.9;128.8;4.86;100.7;9.72;2.07
2.8;9.42;11.39;8.41;98.3;100;86.4;0.3;220;1.95;61.42;2.01;0.51
0;12.37;20.55;4.95;39.89;74.9;22.41;1.1;326;4.62;61.54;10.61;1.56
0;15.08;20.84;11.4;50.25;72.5;41.83;5.01;248.9;11.84;285.1;5.69;3.55
