"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;8.8;15.3;2.36;82.5;93;53.14;0.78;172.5;3.32;122.7;10.35;0.88
1.8;12.66;15.83;10.95;92.2;94.6;77.6;0.78;188.9;4.66;206.3;5.58;0.77
0;10.82;15.7;7.34;75.7;87.9;57.53;1.14;258.4;5.1;294.3;9.07;1.06
0.8;12.8;15.59;10.69;95.9;100;81.2;0.58;275.8;3.26;275.9;4.1;0.66
0;9.57;14.71;5.46;87.4;100;69.79;1.04;311.7;4.12;8.7;8.09;0.82
2.8;10.7;14.85;7.28;90.2;100;69.59;0.98;319.3;4.79;2.96;9.26;0.83
0.4;12.11;14.37;10.96;98;100;84.5;0.54;178;2.73;219.2;3.96;0.62
0;8.26;16.06;2.12;60.97;86.8;24.4;0.63;96.8;4.44;77.4;11.14;0.94
9.8;14.28;17.47;11.04;97.5;100;86.6;1.86;221.4;8.22;235.6;3.43;0.72
0;8.84;14.72;3.52;75.3;91.9;51.35;0.81;120.7;3.33;98.2;10.07;0.9
0.2;10.09;16.26;4.73;77.1;100;38.36;0.88;338.4;3.66;18.25;10.66;1.04
0;19.52;25.95;13.83;69.26;93.1;38.66;1.04;252.7;4.37;201.3;19.75;3.25
0.2;19.78;27.36;15.78;79.4;93.9;44.3;0.88;303.6;3.84;226.5;14.94;2.8
0;18.93;27.09;11.83;52.25;76.7;18.89;1.34;289.3;4.12;273.5;20.23;3.83
0;23.37;29.65;18.95;56.87;82.7;35.94;1.51;113.6;6.01;76.2;19.67;4.09
0.2;19.91;26.83;15.39;79;98.8;46.12;0.9;242.4;4.88;218.7;17.35;2.97
0;21.14;24.29;18.74;83.6;99.8;59.18;1.51;220.7;5.18;222.8;9.96;2.24
0;24.18;30.79;18.48;62.04;79;40.57;1.28;60.22;5.64;102;15.19;3.51
0;21.59;29.2;14.72;53;82.5;27.3;1.1;243.6;5.12;210.1;19.74;3.69
0;21.82;28.73;16.67;53.6;70.5;31.61;1.23;291.3;5.12;213.8;18.95;3.75
0;23.14;32.94;15.39;43.81;64.87;22.99;0.98;292.1;4.05;192;17.83;3.76
0;24.33;32.96;18.09;57.67;81.2;20.44;1.2;298.3;5.54;309.6;19.78;4.24
0;10.69;16.17;5.32;77.2;93.3;47.56;0.69;332.4;3.02;125.1;13.49;1.41
0;20.52;26.02;16.26;72.2;90.6;52.17;1.21;315.4;4.11;265.8;13.81;2.3
0;14.54;19.46;11.3;74.5;87.5;53.5;1.51;318.8;5.62;332.9;13.83;1.99
