"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0.2;7.52;14.36;2.02;82.6;90.7;64.83;1.2;67.64;4.05;55.81;8.32;0.93
3.4;14.15;16.85;12.5;87.1;90.8;78.9;1.93;207.7;5.32;229.2;4.91;1.01
0;11.87;16.81;7.75;72.6;83.9;52.28;2.02;268.4;8.11;291.9;9.03;1.56
0;13.41;16.88;11.39;85.9;91.5;70;1.5;268.3;4.79;253.3;5.8;1.06
0;7.25;16.6;-0.12;86;99.9;56.06;1.25;344.5;3.85;220.5;10.69;1.1
5.2;10.36;15.12;6.74;97.6;100;75.1;2.28;46.25;9.95;313.2;6.18;0.94
0.4;12.83;15.95;10.3;99.7;100;92.8;1.8;200;4.26;213.6;3.97;0.59
0;6.85;16.69;-0.46;64.28;88.1;27.23;2.4;34.32;6.39;43.89;10.51;2.23
8;16;18.9;14.07;96.2;97.9;89.9;1.96;207.8;6.88;210.9;3.86;0.74
0.2;7.86;14.59;2.84;84.9;97.8;54.81;2.02;50.06;4.64;47.65;9.99;1.28
0.2;10.32;17.95;4.18;76.6;100;34.58;1.78;4.62;4.78;15.18;10.65;1.7
0;19.31;26.9;12.92;69.76;89.2;39.18;1.16;271.7;3.77;89.2;18.22;3.27
0;20.26;27.11;15.6;76.7;89.1;48.49;1.54;231.3;6.52;258.1;14.08;3.09
0;18.51;28.31;10.57;54.51;79;21.78;1.88;263.5;7.39;226;20.21;4.47
0;23.03;31.59;16.69;48.36;73;24.47;1.79;71.3;6.54;166.2;19.34;4.75
0.2;20.29;28.11;14.19;79.9;100;40.92;1.29;279.3;5.11;216.7;17.7;3.35
0.2;22.06;26.73;17.02;87.5;100;56.69;1.72;242.3;5.68;226.7;12.81;2.78
0;23.93;31.1;18.29;68.27;89.2;40.27;1.89;48.67;6.56;83.3;15.79;4.01
0;20.85;30.6;11.85;56.7;90.5;27.38;1.34;357.6;4.57;78.5;19.08;3.95
0;21.63;29.07;13.58;63.27;84.3;35.98;1.97;233.5;6.95;254.6;19.08;4.2
0;23.31;34.35;15.27;60;86.4;22.49;1.26;72.9;4.14;248.4;17.74;4.24
0;24.11;33.3;18.16;65.59;87.1;30.07;2.29;237.5;8.6;253;17.43;5.07
0;10.97;15.52;5.92;82.6;90.2;65.25;1.05;69.55;3.9;74.5;8.25;1.22
0;20.67;29.72;12.59;56.88;74.1;28.79;1.84;318.1;6.43;253.8;15.42;3.58
0;14.19;20.82;9.09;64.52;81.7;40.23;2.4;282.8;6.4;296.4;13.79;2.75
0.2;17.06;22.57;12.04;82;92.4;61.83;1.66;170.9;7.28;230.8;9.51;1.85
