"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
15.4;9.89;13.21;5.85;81.9;93.1;64.02;3.62;193.3;10.46;140.6;5.29;1.26
7.8;9.2;12.54;5.78;96.2;100;81.1;0.45;164.4;3.15;199.8;1.98;0.52
1.4;11.87;14.88;9.81;88.3;95.7;79.2;2.51;182;7.11;201.8;4.9;0.84
0.2;7.42;11.41;4.65;98.7;100;93.8;0.49;276.2;3.59;297.4;1.66;0.44
0;4.27;6.12;2.77;95.2;99.9;89.5;0.71;101.9;2.89;135.5;2.72;0.41
0.8;5.68;9.2;0.03;85.2;97.8;63.43;1.11;308.6;6.79;26.12;5.72;0.62
0;9.54;14.95;4.45;88.6;98.9;69.04;0.55;230.3;3.69;309.2;5.4;0.58
0.6;2.88;10.4;-5.12;85.5;99.1;60.94;1.53;172.9;7.76;161.8;8.36;0.72
4.2;9.02;13.02;6.94;87.6;97;66.97;0.92;167.2;4.72;166.1;5.94;0.65
0.6;5.45;9.38;0.62;82.6;96.6;66.74;2.26;221.1;7.16;202.9;3.2;0.83
0.2;8.19;10.69;5.82;93.8;98.9;83;0.46;293.3;2.44;304;4.22;0.47
0.2;3.37;8.59;-2.41;95.3;100;85.3;0.59;204.6;3.46;197.7;3.7;0.41
0.2;6.01;10.43;0.36;86.2;97.2;61.78;0.83;348.2;5.5;10.31;4.43;0.62
1.01;9.41;11.1;7.07;84.1;91.2;77.8;2.77;198.5;7.63;192.7;1.74;0.86
0;0.31;15.5;-7.02;78;97.3;24.95;0.41;227.2;4.55;17.8;8.93;0.58
7.76;8.45;12.99;4.11;88.7;96.8;80.3;2.14;186.1;9.28;174.9;4.02;0.7
0;5.26;10.5;-1.16;87.3;97.2;75.1;1;215;6.46;235.6;2.82;0.58
0;8.06;16.01;2.64;85.5;95.5;53.93;0.49;285.2;2.63;267.2;9.53;0.92
0.2;6.02;14.74;-3.25;68.36;100;25.29;1.6;188;6.7;186.5;12.3;1.68
0;0.73;7.58;-4.86;72.5;97.9;41.27;1.04;35.81;5.52;33.46;10.69;0.93
0.6;10.35;15.61;5.39;93.1;100;71.9;0.91;166.1;5.08;172.2;7.01;0.9
0;4.77;9.26;-0.71;72.5;89.9;56.91;1.84;37.49;6.75;39.09;12.78;1.13
0;2.92;15.54;-5.19;80.5;99.5;36.36;0.35;201.4;2.42;52.01;12.67;0.84
0;1.82;9.19;-2.18;89.5;100;63.68;1.14;61.75;6.19;16.39;9.3;0.82
0;5.79;10.87;0.97;81.5;93.3;63.84;0.75;201.4;5.49;310.9;6.93;0.8
7.6;4.59;7.93;1.24;84;97.1;67.66;3.38;152.4;13.09;149.5;9.03;1.03
1.4;3.33;10.22;-2.15;75.8;98.4;43.95;1.01;70.5;4.57;12.09;12.66;1.01
0;2.19;6.6;-0.83;74.5;87.9;54.26;1.91;27.35;8.16;85.5;12.34;1.07
1.59;2.4;9.25;-4.19;92.8;100;73;0.48;246.4;4.96;12.75;4.87;0.59
1.81;7.96;15.68;0.22;79.8;97.9;48.09;1.68;231.9;7.72;266.3;11.24;1.45
