"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;12.74;19.8;4.79;76.6;95.1;53.44;1.16;247.6;6.32;246.7;21.53;3.31
0.2;3.54;9.52;-0.9;81;97.7;48.58;1.82;311.7;8.12;320;9.06;0.99
0;24.76;34.83;13.41;49.16;91.6;16.2;0.71;198.5;6.6;170.7;30.43;5.94
5.57;9.32;11.26;7.86;90.4;95.2;82;1.3;210.2;4.24;220.4;2.09;0.59
7.96;9.34;11.4;4.65;84.8;93.8;66.68;1.65;231.9;5.52;231.5;3.34;0.79
0;4.55;8.26;1.71;82.2;91.3;65.15;2.36;228.9;8.5;213;7.72;0.84
11.54;4.64;7.39;0.63;80.6;89.9;60.26;3.46;244.2;10.36;310.4;4.79;1.03
0.8;9.11;11.06;8.12;86.9;93.8;79.2;3.01;196.2;8.37;204.7;2.5;0.8
2.79;9.08;10.66;7.85;91.8;94.4;84.6;2;183.8;6.58;180.5;1.42;0.64
0;4.11;11.72;-0.09;88.2;96.8;62.17;0.42;228.8;2.32;151.6;7.15;0.44
0.2;2.89;11.31;-1.83;89.3;97.4;65.38;0.47;337;2.47;29.79;8.56;0.42
0.4;3.45;7.52;-1.76;84.9;97.1;60.19;1.79;240.3;6.44;207.1;7.37;0.72
0;7.62;13.86;3.24;81.5;95;58.15;1.58;279.3;6.82;295.9;6.32;0.96
0;2.97;8.06;-2.84;75.8;91.7;52.75;1.76;288.1;6.61;301.7;6.4;0.99
2.39;4.1;7.32;1.1;85.8;96.1;62.68;1.14;218;4.36;304.7;4.67;0.65
2.39;4.06;6.19;2.64;87;92.5;76.8;1.9;163.6;5.91;156.7;2.95;0.64
3.38;2.98;7.38;-0.36;77.9;96;49.86;2.08;297.2;9.36;318.5;8.99;0.93
0.2;1.77;9.52;-3.17;81.4;96.1;48.85;0.9;252.4;4.72;301.7;9;0.69
0;3.31;11.79;-2.7;79;95.7;50.38;1.32;306.8;7.1;314;8.92;0.94
0;8.07;15.6;1.78;78.1;95.8;55.67;2.01;322.7;9.2;307.4;10.54;1.28
0.2;4.81;13.46;-2.7;81.6;96.7;56.74;1.38;288.8;6.77;290.4;9.92;0.96
0;4.9;9.46;0.91;69.33;94.1;47.46;2.82;277.9;11.01;287.1;9.99;1.31
0;5.75;13.12;-1.7;85.8;96.9;65.53;1.19;245.4;4.7;217.1;7.06;0.82
0;3.96;9.93;0.04;78.7;91.3;54.29;3.12;237.3;11.41;288.6;6.55;1.33
4.38;2.05;8.32;-3.17;80.3;97.2;54.15;2.12;303.7;8.75;313;10.78;1.02
0;7.44;12.32;1.24;79.5;90.5;64.85;1.88;245;5.78;193.7;7.73;1.05
2.59;4.29;8.93;-2.1;71.9;92.5;41.76;2.85;277;11.28;297.7;9.18;1.44
0;1.8;8.45;-3.3;80.1;95.1;52.67;1.25;222.1;5.15;206.5;11.76;0.91
6.97;8.18;14.06;3.51;83.4;94.4;55.74;4.33;213.1;13.83;204.7;5.57;1.79
3.78;2.36;6.72;-0.5;83;96.2;51.41;2.35;215.6;11.35;307.1;7.72;1.08
1;5.56;8.92;2.71;77.5;93.1;56.56;3.32;233;9.25;252.8;8.5;1.31
1.39;4.59;7.32;0.78;83.8;92.8;72.9;2.89;225.1;7.74;209.8;5.28;0.89
11.34;5.82;8.18;1.98;75.8;90.6;48.79;4.46;248.6;11.13;207.7;10.86;1.64
0;14.51;22.08;4.59;60.13;90.4;33.02;1.47;62.1;5.92;63.82;26.96;4.59
0;3.09;5.91;-0.83;66.61;90.3;47.19;3.86;288.8;11.21;303.6;13.62;1.48
2.79;3.51;9.25;-1.3;87.6;95.4;70.8;1.7;223.8;5.65;223.7;5.85;0.86
0;10.06;13.73;7.32;76.2;91.3;57.28;3.33;239.1;9.28;264.9;11.05;1.77
0;1.51;8.65;-3.57;80.3;96.4;44.83;1.04;202.9;5.78;195.6;14.32;1.16
5.37;9.61;13.46;5.05;84.8;93.7;61.51;3.66;215.3;11.55;216.9;5.5;1.53
0.2;4.45;8.18;-1.23;79.5;93.9;57.5;1.6;235.7;6.29;202.8;9.34;1.09
1.99;3.09;8.65;-2.1;81.2;95.1;52.07;1.19;187.5;5.14;217.2;9.43;1.08
1;4.92;10.78;-0.03;80;95.1;53.93;0.9;302.2;4.57;351.3;9.34;1.08
0.2;4.8;13.79;-2.23;80.3;96.3;47.63;0.82;195.6;5.54;202.2;14.6;1.34
0;7.44;11.73;1.58;83.7;95.6;71;1.98;237;6.68;261.3;5.91;1.06
0;5.38;12.25;-0.16;77.2;94.3;47.03;1.32;227.4;5.11;300.8;12.75;1.47
0;3.47;8.58;-2.23;73.1;95.3;41.15;1.29;257.5;5.2;246.5;11.72;1.3
0;3.8;11.85;-1.57;83.6;96.6;48.17;0.78;201.4;4.52;159.6;11.97;1.23
3.78;5.57;10.85;0.17;81.1;94.1;63.78;1.46;211.9;6.44;248.9;7.22;1.12
0.2;5.77;11.46;0.97;78;88;52;3.1;241.7;12.07;270.2;10.56;1.8
3.18;4.39;9.64;-0.3;74;94.4;43.01;1.31;275;5.09;280.6;14.31;1.49
0.8;8.43;13.34;2.05;79.8;91.2;66.45;2.39;250.8;9.98;292.3;7.01;1.39
0;9.08;16.54;4.65;71.2;86.5;32.82;1.74;252.5;5.79;265.1;10.91;2.16
0;7.42;11.66;2.65;68.84;86.9;48.17;4.07;278.1;11.86;286.8;11.95;2.16
0;8.53;13.86;2.64;80.1;95.4;56.9;2.6;256.5;10.06;264.4;9.22;1.7
0.2;5.01;9.52;-2.3;76;93;54.96;2.13;265.1;8.43;252.8;9.51;1.43
0;5.02;9.59;1.44;68.17;82.7;53.74;3.72;272.6;10.84;276.1;15.03;1.98
0.2;8;18.73;-1.83;70;96.4;28.6;1.06;69.43;4.69;53.83;17.8;2.26
0.2;6.91;18.2;-0.23;78.5;96.6;20.69;0.6;274.2;2.77;308.2;13.68;1.76
0.2;8.06;19.27;-1.3;70.4;95.7;26.05;0.75;15.56;3.53;114.4;18.57;2.18
0;7.85;18.8;-1.63;71.8;96.5;30.27;0.74;212.3;3.84;152.8;18.4;2.09
0;8.38;19.47;-2.03;58.07;95.6;20.96;1.19;57.06;4.54;89.4;19.13;2.64
0;7.72;18.27;-1.03;64.06;96.2;22.1;1.01;62.88;4.27;75.4;17.59;2.32
0.2;7.31;18.2;-2.97;62.34;92.8;25.58;1.44;49.53;7.52;86.2;19.17;2.68
0;7.84;17.66;-1.43;61.66;92.6;26.25;1.11;29.9;6.01;129.5;18.59;2.42
0;6.35;15.73;-2.23;66.82;95.3;29.01;0.95;70.1;4.9;101.5;18.91;2.2
0;6.77;17.06;-2.37;67.33;95.6;27.32;0.78;56.85;3.72;39.09;18.78;2.19
0;8.05;18.46;-1.3;61.39;94.2;19.42;0.73;241.3;3.65;112.2;19.47;2.34
0;10.23;21.54;-0.96;55.3;93.1;22.03;2.17;45.28;7.95;74.4;20.1;3.68
0;9.96;21.88;-0.76;60.82;91.9;19.76;0.92;241.6;4.92;160.9;20.14;2.81
