"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;11.32;19.19;1.99;78.6;96.1;55.11;1.56;226.8;5.8;226.1;21.37;3.25
3.56;7.41;8.72;6.12;91;95.1;84.8;3.59;216.1;9.35;218;1.32;0.66
0.79;4.69;8.32;-0.74;89.1;96.7;74.7;1.51;277.5;6.31;309.1;4.98;0.64
0;25.42;35.66;13.46;42.65;83.8;13.62;1.39;175;8.52;252.9;26.78;6.42
0;8.57;16.66;-1.14;56.32;93.4;24.52;3.46;52.35;9.71;11.86;19.89;3.54
0;9.56;16.06;1.46;67.53;95.2;42.83;2.94;60.06;8.42;45.92;24.67;3.68
2.97;9.52;11.06;7.19;91.7;95.3;85.5;3.2;218.3;7.78;214.3;2;0.67
2.57;4.45;8.59;1.32;86.3;93.3;61.89;3.18;220.3;10.34;262.9;4.49;1.05
0;8.56;11.92;5.86;80.7;91.2;62.75;2.11;211.1;9.39;217;5.3;0.96
2.38;9.47;13.66;7.26;87.5;95.6;71.2;1.46;198.2;4.53;221.9;3.76;0.76
0;5.26;13.52;1.26;80.5;94.4;51.92;0.84;63.06;2.68;56.29;6.32;0.73
0.2;3.42;12.52;-1.21;86;97.8;53.93;0.55;67.09;2.75;63.32;6.05;0.57
0.2;2.74;13.18;-2.48;87.9;97.8;48.24;0.59;64.42;2.64;61.51;8.2;0.58
0.79;7.5;9.19;5.72;87.3;96.4;72.6;2.55;220.9;6.22;200.4;2.47;0.8
0.59;4.52;7.85;1.99;83.8;96.8;60.89;2.7;229.3;7.08;239.7;6.21;0.9
0.99;3.21;8.79;-0.88;81;95.4;53;1.38;183.3;7.84;185.1;6.45;0.81
0.2;1.7;7.59;-1.68;85.3;95;60.55;2.13;224.2;6.56;281.5;7.31;0.86
0;1.4;8.85;-4.62;87.8;97;59.15;0.85;221.9;4.34;230.9;9.06;0.64
0;8.1;14.59;2.65;83.8;96.7;59.2;1.26;240.2;5.23;290.4;7.76;0.97
0.2;3.06;8.72;-3.15;90.2;97.4;75.8;1.61;224.4;6.04;249.4;6.55;0.65
0;5.03;8.32;-0.01;75.7;91.9;52.67;3.46;252.4;9.03;232.6;5.81;1.3
2.38;5.29;12.12;0.72;81.2;93.9;44.57;3.62;231.1;12.23;246.5;8.32;2
5.94;2.08;6.73;-1.01;84.9;97.4;61.96;1.81;263.3;6.6;292.6;4.26;0.81
