"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;12.69;20.02;3.95;73.4;100;45.64;2.25;207.2;7.46;244.6;18.47;3.4
0;6.63;16.87;-3.97;59.96;94.8;22.72;1.57;56.73;7.46;354.8;20.88;2.84
3.7;7.66;9.38;6.09;89.3;98;74.4;2.85;205.6;7.28;215;1.53;0.78
0;10.86;17.14;4.22;64.13;93.1;39.26;2.73;31.06;7.75;350.3;28.13;4.18
0.6;9.75;11.19;8.37;89.4;96.3;77.8;2.56;216.4;7.68;227.2;1.91;0.77
0;7.05;11.93;1.32;87.7;99.9;61.88;1.47;168.6;5.36;202.7;5.37;0.77
0.1;3.88;14.11;-2.09;87.3;100;53.37;0.44;83.1;2.21;354.3;8.87;0.52
0.2;7.64;9.37;3.88;89.8;99.9;76.1;2.28;206.4;7.43;203;3.16;0.69
0.5;4.74;7.43;3.01;85.1;99.9;60.81;2.48;234.3;7.04;295.3;5.1;0.85
0.3;1.82;6.96;-4.37;86.5;99.9;59.94;2.79;248.6;7.88;278.8;8.24;0.98
3;4.21;7.63;0.19;87.3;97.4;63.37;2.6;220.8;9.13;227.3;5.29;0.87
0.5;3.69;8.24;-1.62;78.7;94.5;57.73;3.07;168;10.33;183.2;5.41;1.08
6.3;0.85;3.88;-0.69;95.9;100;83.7;1.17;262.9;4.93;304.9;2.27;0.44
0;2.67;7.5;-1.42;86.1;97.6;63.65;2.17;241.7;7.28;261;5.53;0.82
0.1;1.9;7.55;-5.11;89.2;100;62.49;0.96;205.2;3.75;279.6;9.11;0.64
0;7.63;13.13;0.99;91.2;100;66.11;1.98;266.4;6.79;267.5;5.93;0.98
0;6.07;12.39;-1.89;91.8;100;70.9;2.19;243.8;8.07;264.2;6.6;0.91
0;5.2;8.31;1.2;79.4;93.4;58.59;4.43;273.5;10.59;277.2;7.45;1.3
0.4;6.02;11.72;2.74;80.9;94.2;52.53;4.01;238.8;12.16;259.3;8.52;1.85
6.9;4.79;8.92;-0.41;83.3;97.1;58.25;4.07;194;11.8;211.5;6.19;1.3
0;6.99;9.57;4.15;87.8;94.3;74.3;2.52;247.1;6;213.2;4.4;0.88
1;4.46;8.24;-3.91;81.4;98.2;53.61;3.45;254.8;10.28;257.2;7.47;1.25
0.2;0;6.69;-5.58;84;97.3;54.76;1.3;199.1;5.01;234.8;9.71;0.85
6;9.27;15.67;4.68;77.3;96.1;54.13;5.81;202.5;17.7;227;10.1;2.25
2;5.81;8.65;3.47;80.5;96;60.62;4;241.6;11.51;259.6;5.91;1.25
0.1;5.1;7.57;1.2;79.6;91.7;64.92;4.02;232.8;10.17;265.2;5.84;1.17
4.3;5.93;8.51;2.07;79.6;96.6;64.86;4.43;241.4;12.88;250.9;3.71;1.16
0;2.74;6.96;-0.68;91.4;100;69.83;0.95;228;4.41;294.4;6.6;0.79
0;2.72;6.43;-2.63;70.6;91.2;45.14;4.48;273.3;12.51;306.4;10.11;1.59
0.2;6.33;10.58;0.79;90.2;100;64.05;2.39;221.7;8.62;223.3;6.25;1.1
0;9.91;13.6;6.83;82.6;95.1;64.22;3.55;230.6;9.6;253.3;5.36;1.45
1.7;11.19;15.81;5.08;74.8;97;54.14;4.45;208.9;12.51;212.9;7.58;2.03
