"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;12.88;20.43;3.97;73.1;98.4;46.6;2.52;249.2;7.34;301.9;25.42;4.1
0.2;5.7;16.89;-2.71;67.49;94;24.13;1.55;287.7;6.78;28.1;20.42;2.8
2.84;9.26;10.84;7.89;88.3;97.1;76.1;2.65;195.9;8.99;190.2;1.8;0.79
0;6.23;9.63;2.23;81.9;91.7;64.92;4.37;245.4;12.01;255.3;4.68;1.17
0;7.15;12.43;1.83;83.4;97.2;60.32;1.57;169.2;9.21;217;5.34;0.86
1.83;8.95;11.24;7.5;84.9;91.9;76.3;3.46;174.7;10.28;171.7;3.56;0.94
0;9.62;13.84;7.63;60.8;87;42.94;3.04;179.3;8.45;172;3.93;1.79
0;5.16;14.41;-0.71;81;96.3;42.05;0.01;296;1.74;225;9.4;0.28
0;4.32;7.83;1.49;84.9;96.4;60.74;2.51;260.8;8.04;271.3;6.57;0.9
0.41;6.88;11.77;3.63;88.8;95.3;72.6;5.81;263.6;12.28;288;4.86;1.18
0.41;7.43;9.23;5.17;87.9;96.2;75.9;1.6;230.9;5.95;267.1;3.38;0.68
0.2;4.11;8.57;-0.04;85.1;94.4;60.74;3.3;249.6;11.9;296.7;6.24;1.07
0;3.23;6.77;-1.04;80.6;93.2;66.3;2.95;162.4;10.94;170.1;4.52;0.88
0.81;3.28;7.3;0.82;86.8;94.8;68.05;1.84;241.3;9.6;273.1;5.14;0.74
3.45;0.96;4.76;-0.11;92.1;99.1;66.24;2.64;298.2;9.57;283.9;3.3;0.74
0;2.95;6.63;0.16;83.1;92.9;65.56;4.31;268.1;11.7;283.8;7.11;1.03
0;2.41;7.95;-2.71;85.7;96.4;60.86;0.62;282.2;4.21;304.1;10.27;0.6
0;4.16;9.9;-0.37;90.5;99.1;67.22;3.36;269.1;11.53;249.1;8.53;1.02
0;8.28;12.56;5.5;87.1;96.8;67.54;4.05;272.6;9.88;263;8.43;1.26
0.2;6.91;13.76;0.23;86.8;98.7;59.52;3.36;251.9;11.3;209.1;9.67;1.43
0;4.64;7.9;0.89;81.2;93.7;61.08;7.12;278.3;12.76;278.7;7.25;1.42
0.2;6.13;11.64;2.09;76.3;92.4;52.5;5.49;249.6;14.02;252.9;11.52;2.13
1.62;3.66;8.29;0.43;84.9;93.7;65.75;6.82;256.7;16.4;262.4;6.7;1.31
0.41;2.3;6.44;-1.04;85.4;95.9;65.51;4.11;280.6;10.62;278.3;5.47;1.01
0.61;1.1;4.97;-4.38;84.1;94.5;68.53;3.14;240.2;12.65;264.4;4.55;0.84
0.2;2.33;6.63;-1.44;84.6;95.4;61.55;5.07;271.2;10.85;278.6;8.23;1.19
0;6.81;9.57;3.76;87.1;94.4;73.6;4.12;263.3;9.73;262.4;5.64;1.03
0.81;4.22;8.1;-1.44;82.8;93.5;59.26;5.33;272.8;13.74;258.6;8.42;1.39
0;1.1;7.55;-3.51;78;94.8;47.68;1.06;250.5;4.64;267.5;12.16;0.91
2.84;8.72;16.5;3.43;75.9;91.9;44.46;6.32;208.6;16.95;208.3;11.59;2.92
2.03;5.84;9.77;1.3;79.7;93;59.6;0;276.8;0.01;239.9;8.33;0.7
1.42;5.21;9.9;0.16;75.9;93.4;55.85;3.96;216.6;13.18;228.8;6.67;1.46
2.44;5.73;8.9;3.36;80.7;96.2;59.4;5.19;254;15.23;268.1;8.1;1.43
0;4.67;8.43;0.76;80.4;90.2;67.78;3.13;251.1;12.58;245.5;7.42;1.11
0.2;2.34;6.16;-0.24;74.1;90.4;50.71;0.01;295.9;0.01;258.3;11.52;0.71
0;2.75;6.23;-1.24;86.1;96;64.83;0.51;322.9;5.58;336.3;5.05;0.72
0.2;3.29;7.23;-0.44;85.9;97.8;70.5;0;258.5;0.01;233.4;4.9;0.59
0.41;6.03;13.17;-1.58;86.9;98.8;65.42;1.81;251.4;12.07;266.3;8.55;1.17
0;9.9;13.63;6.5;80.8;92.8;61.19;4.59;253.8;12.84;265.7;8.29;1.78
0.81;10.93;16.03;4.83;71.7;93.9;48.14;4.36;232.8;14.45;229.7;10.1;2.34
0.81;4.54;7.36;1.9;83.1;94.9;59.47;1.99;269.4;8.37;280.3;6.04;1.05
0;1.55;7.29;-3.17;83.6;97.4;52.57;0.28;293.8;4.05;298.5;13.12;0.91
0;2.84;9.82;-4.04;68.34;94.3;30.57;0.61;196.9;7.1;189.2;13.04;1.15
0.2;3.33;10.62;-2.18;80.4;95.2;50.48;0.47;264;4.1;336.5;14.5;1.15
0.61;6.68;12.97;0.03;87.7;98.6;66.21;2.72;246;11.14;295.5;6.09;1.27
0.2;3.37;9.97;-1.17;79.6;95;51.1;1.7;242.7;8.89;264;8.86;1.32
0;3.2;8.43;-0.98;75.7;95.4;41.87;3.02;277.9;8.49;276;14.11;1.75
0;5.89;12.49;-2.64;62.84;95.5;37.98;3.82;161.9;11.25;167.9;15.19;2.37
0.81;5.31;8.18;2.22;79.5;93.4;46.51;3.69;223.7;11.98;270.4;6.6;1.62
2.23;6.42;11.7;3.5;86.9;94.3;68.49;3.91;259.5;9.84;285;5.73;1.37
2.23;3.57;8.16;-0.04;75.9;97.6;46.02;3.01;277.5;11.3;266.4;12.33;1.65
0;6.86;10.84;4.5;73.5;84.2;53.24;7.59;274.2;16.8;273.6;8.16;2.34
9.74;6.96;9.77;3.03;93.2;96.4;84.2;6.82;263.8;13.44;263.9;3.13;0.86
0;8.94;11.3;6.36;90.5;96.9;78.7;6.54;269.2;13.38;280.4;6.2;1.19
0.41;4.56;8.56;1.23;77.4;91.9;55.65;8.36;276.6;15.75;286.8;13.67;2.03
0;4.56;7.69;0.36;83.1;96.2;61.67;6.25;267.4;12.45;273.5;8.63;1.51
0;7.65;14.29;0.29;79;96.1;47.87;2.46;294.5;10.27;259.5;17.31;2.26
0;6.58;15.41;-1.57;79.9;97.9;44.86;0.53;337.4;4.65;344.3;18.23;1.81
0;9.04;18.96;0.29;70.2;97.2;28.34;0.34;54.73;4.84;34.65;18.32;1.89
0.41;10.87;18.96;1.7;51.01;94.1;22.06;2.27;163;7.66;160.6;19.01;3.24
0;10.44;17.16;2.9;34.85;65.65;19.39;4.46;167.1;12.29;173.5;18.67;4.29
0.2;8.05;19.89;-1.44;77.5;98.6;36.9;1.55;78.3;8.08;205.6;17.99;2.81
0.59;7.29;12.17;0.76;70.7;96.4;46.08;4.98;282.3;10.35;271.1;15.04;2.56
0;6.38;16.82;-3.91;58.64;88.4;24.13;1.43;148.2;6.84;42.63;20.3;2.67
0;9.65;16.55;2.64;47.87;80.9;21.39;2.73;132.8;6.74;123.8;19.7;3.41
0;7.19;14.03;1.77;62.4;87.1;29.35;2.21;157.9;5.66;117;17.07;2.66
0;5.3;14.62;-3.38;68.85;94.4;34.5;1.22;225.6;5.15;344.2;18.52;2.25
0;7.08;18.42;-2.64;67.24;93.9;30.28;1.26;169.5;4.68;24.58;20.72;2.73
0;9.46;20.23;0.16;66.12;93.2;30.15;1.6;243.5;5.29;308.6;21.07;3.15
0;10.11;19.69;1.3;66.8;94.6;31.22;1.74;353.2;5.77;37.04;20.09;3.13
0.98;11.37;17.63;5.1;69.72;93.9;40.25;3.32;46.11;10.25;17.18;25.42;4.24
0.59;10.92;19.76;2.1;72;96.3;34.96;1.81;217.2;6.52;324;16.81;2.94
0.2;11.5;18.23;5.1;67.27;96.6;22.66;3.16;236.9;9.31;263.6;16.63;3.61
0;3.47;10.35;-2.04;67.11;91.6;33.51;2.89;267.6;7.58;264.3;21.41;2.66
0;3.92;12.1;-2.64;69.36;91.8;35.78;5.25;306.1;10.36;263.7;15.93;2.98
0.39;5.5;11.44;-1.98;74.3;94.1;35.79;4.47;246.8;10.81;305.9;7.99;2.43
0.78;4.43;11.04;-0.51;77.7;91.2;52.24;7.4;278;15.45;273.9;8.24;2.29
0;3.56;10.29;-5.58;70.2;94;45.02;1.56;204.6;6.71;285.7;16.16;2
0;7.75;11.44;1.16;60.85;83;49.5;3.52;142.7;9.85;164.8;9.05;2.14
2.74;7.75;10.64;5.63;72.5;95.3;58.13;3.4;134.7;10.3;133.7;6.43;1.64
0;8.84;14.16;5.3;71.2;96.7;41.46;2.38;204.9;8.08;172.5;15.92;2.6
0;9.51;14.1;4.83;74;95.3;57.91;3.86;169.7;10.12;200.1;14.67;2.41
0;10.94;14.44;7.77;66.02;84.8;46.48;4.55;168.2;11.56;190.7;8.23;2.69
1.57;8.75;12.36;5.1;81.1;95;57.93;2.09;240;9.65;259.1;9.1;1.75
1.18;7.01;12.83;2.89;82.1;98;53.71;3.54;276.5;8.92;284.7;16.82;2.44
0.59;7.36;12.16;0.9;83.3;95.9;56.51;3.92;256.6;8.31;271.9;14.09;2.23
1.57;12.17;19.83;6.97;85.4;98.4;55.42;3.37;266.1;7.46;269.7;16.81;3.08
