precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.20;9.30;15.40;4.70;80.00;96.00;55.00;1.60;345.00;4.80;289.00;8.20;1.10
0.20;10.80;14.60;7.30;85.00;97.00;64.00;1.70;310.00;5.70;296.00;4.60;0.70
0.00;11.10;13.40;9.20;83.00;87.00;76.00;2.10;299.00;5.10;282.00;2.40;0.50
0.00;11.70;15.90;8.20;77.00;98.00;36.00;4.50;350.00;24.60;324.00;5.10;0.80
0.00;11.50;15.80;8.80;50.00;79.00;31.00;4.40;293.00;23.90;296.00;6.70;1.20
0.00;11.00;17.80;7.40;75.00;89.00;50.00;2.10;271.00;6.80;284.00;8.40;1.20
0.00;10.10;16.00;6.80;80.00;97.00;53.00;2.50;293.00;6.50;287.00;8.80;1.20
0.00;9.10;13.00;5.70;89.00;97.00;72.00;2.00;311.00;4.50;300.00;3.80;0.60
0.00;8.90;12.10;6.60;89.00;97.00;67.00;2.20;284.00;5.30;176.00;5.00;0.70
0.00;9.80;11.40;7.90;86.00;95.00;74.00;1.50;318.00;3.70;285.00;2.20;0.40
0.10;10.80;13.30;9.60;81.00;88.00;70.00;1.70;305.00;4.60;282.00;2.20;0.50
0.00;10.80;14.60;8.20;82.00;95.00;61.00;2.90;269.00;6.20;181.00;9.60;1.20
0.10;10.90;13.40;7.20;77.00;97.00;49.00;2.50;94.00;10.00;30.00;5.10;0.80
0.80;10.70;13.30;8.30;92.00;98.00;79.00;1.50;285.00;4.00;299.00;3.30;0.50
0.00;8.60;15.10;5.10;75.00;94.00;45.00;2.00;306.00;6.00;193.00;8.90;1.20
9.00;8.60;14.30;4.90;91.00;99.00;78.00;2.80;288.00;9.40;128.00;4.90;0.60
0.00;9.70;12.70;6.20;64.00;97.00;47.00;5.60;317.00;19.50;310.00;7.30;1.30
0.00;10.20;12.70;8.80;45.00;54.00;36.00;11.90;311.00;25.20;307.00;8.30;1.70
0.00;9.10;13.80;5.40;59.00;84.00;36.00;3.30;305.00;11.30;322.00;5.40;1.00
0.00;11.40;14.00;8.80;52.00;61.00;42.00;6.80;324.00;18.60;315.00;11.20;1.80
