precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.20;8.30;13.30;2.40;88.00;98.00;71.00;1.20;62.00;3.40;39.00;6.00;0.74
0.00;11.00;16.30;6.10;86.00;98.00;65.00;1.20;21.00;3.90;265.00;7.00;0.92
0.00;6.20;10.60;2.10;69.00;93.00;55.00;4.70;274.00;15.70;295.00;5.70;0.79
0.00;5.70;12.90;1.30;87.00;96.00;63.00;1.30;112.00;3.60;38.00;6.60;0.65
0.00;6.90;14.30;1.00;88.00;99.00;62.00;1.10;99.00;3.30;41.00;8.00;0.87
0.10;5.80;13.50;1.00;92.00;98.00;66.00;1.10;88.00;3.20;37.00;7.60;0.78
0.40;3.70;6.40;0.60;99.00;99.00;98.00;0.90;341.00;2.80;321.00;4.80;0.44
0.30;4.60;9.00;0.50;97.00;99.00;84.00;1.20;82.00;4.00;47.00;4.80;0.42
0.00;6.90;10.60;3.50;92.00;98.00;73.00;1.50;277.00;4.20;52.00;4.10;0.49
0.10;6.90;8.30;5.80;97.00;99.00;91.00;1.00;246.00;3.20;154.00;2.80;0.35
0.00;4.80;9.20;0.00;86.00;97.00;76.00;2.30;260.00;9.20;290.00;4.60;0.51
0.50;4.20;8.40;-0.30;90.00;99.00;76.00;1.50;86.00;4.10;213.00;5.00;0.54
0.40;6.20;9.40;4.30;94.00;98.00;85.00;1.50;73.00;9.00;270.00;2.50;0.34
0.20;5.30;11.40;1.00;87.00;99.00;51.00;1.80;57.00;8.30;88.00;9.00;0.92
0.20;5.80;10.00;3.70;88.00;98.00;68.00;2.90;286.00;10.10;306.00;6.00;0.61
0.00;6.10;9.90;3.50;70.00;81.00;52.00;7.70;293.00;16.90;311.00;10.50;1.18
0.00;5.80;11.30;1.90;72.00;89.00;47.00;4.30;285.00;10.90;280.00;10.50;1.19
0.00;5.30;9.50;2.80;82.00;92.00;59.00;1.40;137.00;4.10;72.00;4.50;0.52
0.00;6.30;13.50;-1.00;78.00;96.00;46.00;3.40;275.00;11.40;268.00;11.00;1.30
0.00;10.10;14.20;5.60;71.00;80.00;55.00;7.50;289.00;18.00;291.00;10.40;1.43
0.00;13.10;18.70;7.70;63.00;72.00;42.00;7.20;289.00;16.60;301.00;8.90;1.71
0.00;11.50;16.90;4.60;69.00;95.00;51.00;5.30;270.00;14.10;269.00;10.20;1.54
0.00;9.40;12.90;4.70;64.00;81.00;37.00;7.70;283.00;17.90;283.00;10.90;1.70
4.20;5.70;10.70;3.20;73.00;94.00;46.00;4.40;291.00;12.50;287.00;9.00;1.13
2.60;4.40;8.20;-0.30;92.00;98.00;77.00;2.10;274.00;6.00;288.00;6.90;0.77
0.10;5.30;10.50;1.70;75.00;94.00;51.00;5.70;291.00;15.60;300.00;12.10;1.24
0.00;6.00;12.40;1.50;76.00;93.00;54.00;2.20;259.00;6.20;274.00;11.90;1.24
1.50;6.40;9.30;3.00;76.00;91.00;62.00;3.40;12.00;13.50;295.00;3.40;0.47
0.00;5.30;11.00;0.50;66.00;87.00;47.00;5.00;287.00;10.30;273.00;12.60;1.42
0.00;3.00;9.30;-2.20;81.00;94.00;52.00;1.70;310.00;4.80;324.00;7.20;0.71
2.40;4.50;11.50;-2.80;77.00;97.00;45.00;1.90;72.00;7.40;87.00;11.80;1.32
1.80;8.20;13.60;2.40;73.00;95.00;41.00;4.40;295.00;15.30;275.00;11.10;1.42
0.00;8.80;16.10;0.70;70.00;90.00;46.00;3.30;98.00;8.60;96.00;11.90;1.66
0.10;9.10;12.80;4.80;65.00;92.00;37.00;4.50;273.00;15.20;286.00;13.50;1.74
0.20;8.40;13.10;4.90;73.00;87.00;59.00;2.20;2.00;8.10;292.00;4.80;0.74
4.20;5.30;8.30;0.90;74.00;92.00;54.00;4.00;40.00;14.60;75.00;4.30;0.68
0.40;6.60;9.20;4.40;76.00;97.00;59.00;8.40;284.00;22.30;290.00;10.00;1.07
3.00;3.30;6.20;0.60;78.00;97.00;54.00;3.90;293.00;14.10;304.00;4.30;0.57
0.10;5.00;10.60;-1.20;82.00;94.00;61.00;2.00;282.00;6.10;308.00;12.50;1.27
0.00;8.40;15.90;1.20;79.00;96.00;57.00;1.60;301.00;5.00;299.00;11.80;1.49
0.00;11.90;18.60;5.50;75.00;93.00;50.00;1.80;82.00;5.30;72.00;10.00;1.44
1.20;11.30;17.50;6.90;74.00;91.00;50.00;2.70;219.00;8.10;304.00;11.20;1.70
0.30;7.10;10.10;1.60;86.00;96.00;70.00;2.00;175.00;6.40;268.00;4.90;0.65
0.10;6.20;13.30;-0.60;75.00;97.00;37.00;1.60;94.00;4.30;149.00;14.00;1.64
0.00;7.40;12.00;4.40;74.00;89.00;56.00;2.20;271.00;7.60;293.00;6.30;0.91
0.00;8.60;16.10;2.90;72.00;93.00;39.00;3.40;246.00;9.90;243.00;14.80;1.85
0.00;7.70;15.80;-1.00;77.00;97.00;53.00;1.90;257.00;8.60;286.00;12.40;1.46
0.50;9.00;12.90;3.80;61.00;91.00;37.00;5.80;283.00;15.80;278.00;14.60;1.86
0.00;6.20;13.90;-2.90;62.00;89.00;38.00;2.80;274.00;9.80;285.00;16.00;1.89
0.00;7.60;15.50;-0.90;67.00;93.00;38.00;2.30;109.00;8.30;90.00;16.00;2.00
0.00;9.80;15.30;5.70;67.00;79.00;45.00;3.80;105.00;8.90;78.00;15.20;1.95
0.10;9.30;14.30;4.60;71.00;92.00;47.00;2.50;245.00;16.00;305.00;12.10;1.51
0.00;7.00;12.30;1.20;65.00;84.00;40.00;5.40;279.00;13.20;278.00;15.50;1.96
