precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.00;7.70;14.60;0.80;81.00;99.00;56.00;2.30;231.00;13.80;237.00;7.30;0.85
0.00;11.30;16.90;5.40;79.00;100.00;56.00;2.20;227.00;13.50;238.00;6.40;0.83
0.00;9.40;17.10;3.10;69.00;99.00;30.00;2.10;248.00;19.60;328.00;7.80;0.99
0.00;8.30;14.40;3.60;88.00;100.00;56.00;1.40;277.00;3.80;269.00;5.70;0.67
0.00;8.50;16.00;2.90;95.00;100.00;70.00;1.40;226.00;4.50;130.00;7.10;0.80
0.10;9.30;15.00;5.10;95.00;100.00;70.00;1.60;217.00;5.60;112.00;6.60;0.75
0.20;8.10;15.60;0.50;82.00;100.00;50.00;1.90;292.00;12.30;338.00;8.60;0.95
0.00;7.40;13.10;0.90;85.00;100.00;64.00;2.30;241.00;9.90;206.00;5.90;0.64
0.00;13.20;18.50;8.10;78.00;97.00;54.00;3.90;208.00;9.80;216.00;6.40;1.22
0.00;10.10;17.10;4.30;73.00;100.00;31.00;3.70;228.00;10.70;225.00;9.10;1.56
4.40;9.20;11.90;7.20;88.00;100.00;66.00;1.70;315.00;8.10;348.00;3.50;0.46
0.00;8.10;13.70;2.70;71.00;100.00;47.00;2.60;310.00;11.70;345.00;8.60;1.24
0.00;7.20;14.00;1.50;75.00;100.00;43.00;2.60;256.00;8.00;332.00;10.10;1.23
0.30;10.10;14.50;6.20;66.00;100.00;37.00;3.30;319.00;13.50;326.00;10.00;1.56
0.00;10.20;16.90;5.60;79.00;94.00;45.00;2.50;262.00;10.50;42.00;8.70;1.16
0.00;11.70;18.40;6.10;77.00;97.00;34.00;2.40;259.00;17.40;319.00;7.70;1.19
1.30;9.90;15.00;5.30;70.00;98.00;39.00;2.50;315.00;10.70;318.00;5.40;1.14
0.10;6.80;11.70;0.40;77.00;100.00;50.00;2.60;229.00;8.20;218.00;7.60;0.93
0.00;7.10;14.10;-0.50;82.00;99.00;51.00;2.90;334.00;8.40;83.00;9.70;1.12
0.10;5.80;14.00;-0.30;85.00;100.00;48.00;1.80;259.00;5.70;129.00;10.70;1.26
0.00;8.90;14.50;2.30;58.00;93.00;32.00;3.20;312.00;10.90;321.00;12.50;1.70
0.00;6.80;15.20;-1.40;76.00;100.00;31.00;3.40;235.00;14.10;194.00;11.60;1.62
0.00;8.10;14.40;0.40;72.00;99.00;47.00;3.20;220.00;11.60;227.00;11.50;1.48
0.00;9.50;19.40;-0.80;77.00;100.00;40.00;4.00;231.00;13.50;212.00;11.30;1.75
0.00;10.90;18.20;0.10;67.00;100.00;44.00;4.40;280.00;17.00;236.00;9.10;1.85
1.70;8.50;12.90;2.10;71.00;98.00;43.00;2.90;234.00;11.80;177.00;6.90;1.04
1.30;10.90;16.00;6.70;74.00;100.00;47.00;3.00;239.00;12.30;302.00;7.70;1.19
0.00;9.40;14.00;3.10;64.00;96.00;34.00;3.40;259.00;13.70;327.00;11.30;1.47
0.00;9.10;15.70;1.50;68.00;93.00;43.00;2.70;241.00;7.60;224.00;13.50;1.67
0.00;9.60;18.30;0.30;77.00;100.00;46.00;2.20;321.00;10.40;19.00;13.00;1.71
0.00;12.40;18.20;6.70;83.00;98.00;65.00;2.50;159.00;7.60;96.00;10.30;1.42
0.00;15.40;23.70;10.20;65.00;95.00;29.00;3.60;216.00;11.90;246.00;13.90;2.56
4.20;9.60;15.60;6.40;78.00;99.00;52.00;2.80;318.00;8.20;339.00;8.10;1.19
0.20;8.10;15.90;-0.30;85.00;100.00;49.00;2.30;227.00;8.70;183.00;14.10;1.75
0.00;12.80;18.10;3.80;58.00;96.00;34.00;3.50;333.00;13.60;336.00;12.40;2.02
0.00;8.50;16.10;1.60;85.00;100.00;57.00;1.90;237.00;6.30;113.00;13.80;1.70
0.00;8.30;15.70;1.30;81.00;100.00;50.00;2.10;258.00;6.20;78.00;15.60;1.86
0.10;8.40;16.90;-0.90;83.00;100.00;54.00;2.90;217.00;8.80;127.00;15.10;1.77
0.00;11.00;16.10;6.60;81.00;100.00;50.00;4.20;184.00;11.20;167.00;14.00;1.82
0.00;10.50;18.80;1.80;75.00;100.00;45.00;3.10;234.00;11.40;190.00;12.90;1.92
4.90;8.00;13.50;2.30;81.00;100.00;54.00;2.50;287.00;9.20;18.00;10.50;1.45
0.20;6.10;13.10;-0.30;88.00;100.00;59.00;1.80;266.00;7.40;196.00;8.90;1.21
0.20;7.00;13.50;0.60;73.00;100.00;33.00;2.50;302.00;13.00;328.00;7.80;1.15
0.00;7.60;15.90;-0.50;64.00;92.00;32.00;2.20;262.00;10.60;331.00;14.20;2.02
0.00;10.60;16.50;6.50;68.00;95.00;43.00;3.30;274.00;12.70;302.00;16.40;2.21
1.50;9.60;14.60;5.30;71.00;96.00;43.00;3.30;309.00;12.10;357.00;10.20;1.70
0.00;10.30;14.40;4.30;55.00;82.00;30.00;6.20;321.00;24.60;333.00;18.20;2.65
0.00;12.90;18.60;7.80;49.00;84.00;21.00;4.10;339.00;14.10;342.00;16.90;2.79
0.00;12.00;17.10;3.80;51.00;82.00;27.00;3.90;344.00;15.00;11.00;18.40;3.02
0.00;7.80;15.80;-1.10;80.00;100.00;46.00;2.10;271.00;6.00;102.00;18.40;2.44
0.10;8.30;18.00;-0.70;82.00;100.00;41.00;2.30;217.00;8.50;97.00;18.40;2.49
0.10;8.60;17.40;1.00;86.00;100.00;47.00;2.40;297.00;7.40;84.00;19.10;2.34
0.00;10.10;20.40;-0.90;68.00;100.00;30.00;1.90;230.00;6.30;181.00;18.10;2.82
0.00;10.00;16.10;3.30;81.00;99.00;53.00;2.40;263.00;7.60;128.00;13.40;1.95
0.00;10.00;16.30;3.20;77.00;100.00;58.00;2.80;354.00;8.60;74.00;18.60;2.45
0.00;9.60;16.50;2.70;82.00;100.00;60.00;2.40;310.00;7.00;107.00;19.10;2.48
0.10;8.90;19.60;1.00;86.00;100.00;44.00;2.00;225.00;8.90;45.00;17.00;2.45
0.00;14.70;23.50;1.10;53.00;100.00;18.00;3.80;306.00;18.40;341.00;20.00;3.79
0.00;20.40;25.30;13.00;30.00;50.00;21.00;5.70;341.00;20.40;343.00;19.70;4.49
0.00;14.30;24.10;4.00;62.00;97.00;25.00;2.20;204.00;7.00;116.00;20.70;3.36
0.00;11.40;17.90;4.60;86.00;100.00;55.00;2.50;217.00;7.60;126.00;19.40;2.45
0.00;12.40;18.80;6.40;76.00;100.00;43.00;2.60;258.00;10.50;125.00;18.00;2.76
0.00;10.60;16.90;4.10;93.00;100.00;68.00;1.90;345.00;5.40;84.00;7.50;1.13
0.00;13.30;18.30;9.50;87.00;100.00;68.00;2.20;204.00;7.10;180.00;15.10;2.19
4.60;12.80;17.90;8.90;80.00;100.00;51.00;2.70;9.00;10.60;29.00;9.70;1.49
1.40;9.90;13.90;4.60;62.00;96.00;32.00;2.90;292.00;11.90;328.00;16.30;2.20
0.00;9.10;15.10;0.50;67.00;98.00;33.00;2.30;306.00;7.90;125.00;16.40;2.32
11.40;9.70;17.80;6.00;83.00;100.00;46.00;2.70;233.00;11.80;113.00;13.20;1.87
0.50;9.30;14.70;5.80;70.00;96.00;48.00;3.70;329.00;14.10;338.00;11.10;1.59
0.10;10.20;16.20;3.90;63.00;100.00;33.00;2.90;289.00;10.40;335.00;15.30;2.31
0.00;9.40;16.60;1.20;82.00;100.00;48.00;2.90;218.00;11.40;162.00;20.20;2.67
0.10;11.70;15.80;6.60;88.00;98.00;74.00;3.10;60.00;8.00;103.00;13.00;1.74
1.20;13.30;15.00;12.40;93.00;98.00;86.00;3.40;101.00;7.00;118.00;6.10;0.92
0.00;13.10;16.50;8.00;94.00;100.00;77.00;2.60;137.00;9.10;131.00;13.60;1.73
0.10;12.70;21.90;5.20;80.00;100.00;45.00;2.90;203.00;12.60;193.00;19.60;2.97
0.00;12.10;15.90;6.70;96.00;100.00;88.00;1.90;68.00;5.60;101.00;5.80;0.84
33.10;12.70;14.10;9.10;99.00;100.00;95.00;4.40;93.00;11.30;91.00;3.80;0.49
3.30;15.50;20.90;9.40;59.00;100.00;40.00;5.70;340.00;19.70;344.00;19.00;3.33
0.00;17.60;23.50;10.10;52.00;73.00;32.00;3.70;322.00;13.20;353.00;24.00;4.10
0.00;15.60;21.60;8.10;75.00;97.00;54.00;2.60;211.00;7.70;137.00;23.70;3.47
0.00;15.10;24.50;7.70;83.00;100.00;45.00;2.20;99.00;8.60;186.00;23.40;3.61
0.00;15.60;21.00;11.10;78.00;100.00;52.00;2.10;305.00;8.60;354.00;14.60;2.53
0.00;14.70;21.00;9.20;74.00;99.00;37.00;2.40;330.00;9.10;121.00;25.10;3.62
0.10;13.40;20.60;5.70;79.00;100.00;35.00;1.90;269.00;6.90;123.00;23.10;3.49
9.50;12.90;20.80;8.00;94.00;100.00;61.00;1.70;233.00;7.80;338.00;10.30;1.61
0.20;13.30;19.10;8.10;92.00;100.00;69.00;2.50;163.00;8.60;97.00;23.70;3.01
0.10;16.40;26.20;6.20;72.00;100.00;24.00;2.40;313.00;11.20;25.00;23.20;4.35
0.00;16.20;22.20;10.30;77.00;97.00;42.00;2.80;249.00;8.40;113.00;24.10;3.64
0.00;14.40;20.70;8.80;77.00;100.00;43.00;2.50;154.00;7.60;103.00;26.20;4.02
0.00;13.00;18.20;6.90;70.00;98.00;44.00;3.00;355.00;8.70;58.00;26.60;3.74
0.00;13.30;19.40;5.70;84.00;99.00;67.00;2.60;276.00;8.70;122.00;25.60;3.46
0.00;16.00;21.90;9.30;75.00;100.00;36.00;2.40;201.00;7.70;143.00;20.90;3.48
0.00;15.40;20.40;10.70;68.00;95.00;42.00;2.50;319.00;12.10;332.00;12.10;2.41
1.70;12.50;15.40;10.60;89.00;99.00;70.00;1.60;325.00;5.30;96.00;4.40;0.84
