precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.10;6.70;14.50;-0.70;78.00;94.00;55.00;1.00;291.00;6.50;221.00;7.30;0.89
0.00;9.70;17.30;3.80;79.00;95.00;53.00;0.60;293.00;3.80;291.00;6.10;0.80
0.00;12.30;19.20;7.40;75.00;92.00;49.00;0.70;271.00;6.40;264.00;5.60;0.86
0.00;8.90;12.70;5.90;57.00;76.00;42.00;1.30;275.00;8.90;257.00;7.80;1.01
0.00;11.30;18.50;5.60;69.00;90.00;49.00;0.80;170.00;4.40;235.00;8.70;1.10
0.00;8.70;18.00;2.90;82.00;96.00;45.00;0.70;293.00;5.40;222.00;8.50;1.06
0.00;6.80;15.40;-0.70;85.00;96.00;56.00;0.70;307.00;4.20;243.00;7.90;0.87
0.00;7.30;10.40;5.30;89.00;95.00;73.00;0.50;314.00;2.60;330.00;3.10;0.45
0.60;9.80;13.80;6.30;84.00;94.00;67.00;0.50;353.00;3.00;108.00;4.40;0.64
4.90;10.20;14.00;6.80;86.00;96.00;68.00;0.40;346.00;3.30;308.00;7.40;0.94
0.00;6.90;12.50;1.80;74.00;95.00;55.00;0.80;295.00;6.00;243.00;5.70;0.75
1.40;9.30;13.50;6.30;88.00;96.00;71.00;0.80;283.00;4.00;221.00;4.00;0.57
0.00;7.40;14.20;2.70;78.00;95.00;43.00;0.90;288.00;7.00;211.00;8.80;1.21
3.60;7.50;11.30;5.40;87.00;96.00;69.00;0.70;323.00;5.50;311.00;5.80;0.72
0.00;7.60;12.20;4.00;63.00;80.00;49.00;1.00;345.00;8.60;316.00;9.10;1.11
0.00;6.50;12.30;1.60;64.00;88.00;36.00;1.00;296.00;6.90;329.00;10.80;1.32
0.10;6.40;13.30;2.90;84.00;96.00;56.00;0.80;283.00;5.10;25.00;9.70;1.10
0.00;10.50;15.50;6.10;67.00;80.00;52.00;1.40;182.00;8.70;327.00;7.90;1.09
0.00;12.70;17.90;7.60;63.00;79.00;47.00;1.00;59.00;6.90;317.00;9.20;1.35
0.00;11.90;14.80;6.00;52.00;68.00;31.00;1.90;272.00;9.70;304.00;10.80;1.63
0.00;7.40;11.50;3.30;60.00;80.00;37.00;1.40;290.00;8.50;315.00;7.10;1.02
3.10;6.10;13.00;-0.60;79.00;95.00;51.00;0.80;335.00;6.60;326.00;8.10;1.01
1.50;7.10;12.50;3.40;73.00;94.00;48.00;0.80;358.00;7.60;320.00;11.40;1.30
0.00;5.90;13.00;0.70;77.00;93.00;47.00;0.70;274.00;5.60;328.00;10.70;1.19
0.00;6.60;12.00;1.30;60.00;79.00;42.00;1.10;290.00;9.70;316.00;12.40;1.48
0.00;5.10;11.70;-2.10;74.00;93.00;47.00;1.30;268.00;7.60;215.00;9.00;1.17
0.40;7.00;13.50;0.70;69.00;90.00;39.00;1.10;253.00;6.70;218.00;11.10;1.41
0.60;10.10;15.70;3.50;69.00;96.00;37.00;1.60;262.00;12.20;246.00;9.60;1.49
0.00;9.00;17.10;1.00;71.00;92.00;41.00;1.00;277.00;5.40;225.00;12.10;1.67
0.00;11.60;15.00;8.60;57.00;94.00;30.00;1.80;252.00;8.40;245.00;13.30;1.86
0.20;11.40;15.30;7.90;61.00;74.00;45.00;2.60;236.00;9.00;210.00;7.30;1.31
13.90;9.00;11.10;5.10;59.00;96.00;42.00;1.20;240.00;6.80;237.00;5.30;0.85
0.80;7.60;11.50;4.50;75.00;96.00;54.00;1.40;294.00;9.60;318.00;6.10;0.89
0.00;6.90;10.30;3.30;61.00;75.00;41.00;1.20;145.00;6.80;250.00;8.20;1.14
0.00;7.80;15.20;1.30;67.00;86.00;40.00;1.60;237.00;8.40;230.00;13.60;1.71
0.00;12.00;19.40;5.80;63.00;90.00;42.00;1.60;282.00;8.80;249.00;12.60;1.96
0.00;12.60;21.20;6.40;78.00;96.00;45.00;1.50;269.00;8.30;243.00;12.90;2.01
0.00;12.90;20.90;5.80;68.00;95.00;33.00;1.60;288.00;6.70;223.00;12.00;2.03
5.10;8.90;12.40;5.10;79.00;96.00;54.00;0.90;350.00;4.80;320.00;4.80;0.74
0.10;7.10;14.80;1.70;80.00;97.00;40.00;0.80;309.00;4.40;220.00;13.60;1.67
0.00;8.20;13.60;2.90;76.00;93.00;58.00;0.50;16.00;5.30;347.00;5.40;0.77
0.00;9.90;16.60;3.80;68.00;93.00;46.00;1.00;357.00;5.80;236.00;12.20;1.67
0.00;9.50;17.60;3.70;72.00;94.00;45.00;1.00;226.00;5.90;217.00;13.70;1.81
0.00;9.10;15.60;3.10;66.00;92.00;30.00;0.80;275.00;7.40;250.00;7.60;1.16
0.00;7.30;15.90;0.40;59.00;88.00;29.00;0.90;313.00;5.70;249.00;15.60;2.00
0.00;7.40;16.60;0.20;74.00;95.00;34.00;1.00;284.00;7.50;219.00;15.70;2.15
0.00;7.70;15.90;2.50;79.00;95.00;46.00;0.90;309.00;6.90;223.00;14.10;1.82
0.00;9.20;16.10;2.90;78.00;95.00;41.00;1.50;266.00;7.70;222.00;11.60;1.74
0.00;9.30;13.80;2.30;53.00;84.00;32.00;1.40;292.00;7.30;325.00;12.20;1.80
0.00;5.80;12.80;-0.60;72.00;92.00;42.00;0.60;294.00;6.10;248.00;9.00;1.25
0.00;7.60;15.50;0.00;64.00;95.00;31.00;1.50;295.00;12.20;238.00;13.40;2.02
0.00;8.10;12.60;2.90;64.00;83.00;47.00;1.10;264.00;8.50;264.00;9.90;1.51
0.00;8.90;17.30;-0.20;78.00;95.00;48.00;1.10;256.00;7.70;236.00;16.00;2.24
0.00;11.50;15.10;7.00;53.00;97.00;30.00;2.20;281.00;10.90;318.00;17.00;2.54
0.00;10.10;15.60;5.80;55.00;72.00;36.00;1.90;292.00;11.90;295.00;16.20;2.32
0.00;10.60;16.90;3.30;66.00;94.00;49.00;1.10;195.00;5.90;240.00;14.00;2.09
0.00;9.30;16.40;2.60;72.00;96.00;45.00;1.00;280.00;6.20;208.00;15.40;2.18
0.00;9.50;19.90;1.10;63.00;92.00;25.00;1.20;279.00;6.10;223.00;18.30;2.89
0.00;9.30;20.00;0.10;63.00;91.00;30.00;1.00;324.00;6.70;221.00;18.30;2.86
0.00;9.30;18.90;0.70;66.00;94.00;27.00;0.90;355.00;5.40;219.00;19.00;2.81
0.00;9.60;21.30;0.70;60.00;94.00;19.00;1.00;318.00;6.70;198.00;17.90;2.94
0.00;10.00;19.20;2.40;60.00;87.00;30.00;0.70;341.00;5.10;225.00;14.20;2.28
0.00;8.90;16.50;1.50;70.00;92.00;33.00;1.10;29.00;7.80;120.00;14.40;2.12
0.00;9.60;17.20;3.10;70.00;91.00;39.00;0.70;356.00;4.10;110.00;14.20;2.10
0.00;10.20;20.00;3.10;66.00;93.00;29.00;0.80;286.00;5.60;241.00;15.20;2.47
0.00;13.30;22.30;2.20;52.00;90.00;25.00;0.90;326.00;7.20;5.00;19.00;3.26
0.00;15.80;23.90;9.60;47.00;69.00;31.00;1.20;355.00;6.90;307.00;19.90;3.48
0.00;15.70;27.10;5.90;49.00;82.00;24.00;1.40;268.00;7.60;215.00;19.90;3.82
0.00;13.20;23.20;4.30;61.00;89.00;29.00;1.20;277.00;6.90;237.00;19.50;3.41
0.00;12.40;20.80;5.70;68.00;92.00;41.00;1.10;300.00;5.90;219.00;16.00;2.67
