precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.00;8.60;15.82;2.96;59.47;85.60;41.78;1.37;2.52;4.83;13.46;10.94;1.36
0.20;16.01;18.78;14.36;95.40;100.00;85.00;2.52;188.40;7.14;218.00;4.89;0.88
0.00;9.37;17.77;3.31;79.70;98.80;50.65;1.26;59.40;4.25;120.50;10.39;1.24
0.00;10.25;16.43;4.71;81.50;100.00;46.29;2.15;14.41;7.84;354.50;11.25;1.57
0.00;24.27;30.49;18.44;58.12;82.10;38.20;2.74;106.20;9.86;106.00;14.55;4.55
0.00;20.13;29.42;11.34;63.34;95.30;22.52;0.98;33.86;5.12;333.90;20.02;3.58
0.00;21.68;29.73;14.42;65.48;91.20;36.31;1.47;182.40;6.10;232.00;19.17;3.88
0.00;22.78;32.91;15.17;62.31;83.50;31.55;0.89;174.10;4.90;232.30;18.80;3.68
21.10;16.69;21.86;13.55;82.30;99.80;56.58;4.02;116.90;14.44;121.30;6.52;2.37
0.00;19.39;25.87;14.83;70.90;93.00;43.11;2.41;111.40;7.81;162.80;11.68;2.97
0.00;18.40;25.01;10.68;72.70;100.00;44.26;2.03;131.70;7.44;186.80;15.35;2.75
0.10;11.19;17.10;5.39;88.50;100.00;60.06;1.09;323.10;5.58;310.60;14.55;1.58
0.30;12.90;18.90;8.33;95.20;100.00;76.80;1.10;233.40;5.95;282.80;8.70;0.98
0.00;12.22;21.73;5.72;69.37;88.50;44.33;0.68;45.54;3.50;103.30;9.94;1.22
0.70;14.73;17.91;11.41;95.30;100.00;83.90;2.70;141.20;7.89;151.20;4.16;0.88
0.00;7.53;14.22;1.23;72.30;93.30;40.45;1.71;338.20;4.95;325.60;12.45;1.45
0.00;11.04;18.18;5.86;81.90;100.00;48.10;1.18;1.02;4.60;17.46;11.15;1.31
0.40;12.26;16.09;4.84;82.70;98.70;54.48;2.46;293.70;7.78;324.40;6.82;1.61
0.00;7.67;13.81;1.36;73.30;95.50;44.34;1.06;315.80;6.03;308.80;13.90;1.41
0.00;13.41;22.11;5.24;75.40;100.00;42.65;1.03;44.91;5.61;51.92;14.11;1.84
0.40;13.27;18.30;9.07;89.50;100.00;59.92;1.67;196.30;6.51;164.50;11.42;1.61
0.00;10.41;17.32;3.37;80.40;100.00;51.80;2.19;269.50;7.08;261.40;12.51;1.85
0.40;13.95;16.63;11.34;90.00;96.20;82.50;3.85;265.30;11.09;243.60;5.73;1.27
0.10;11.95;19.37;6.25;87.10;100.00;60.17;0.49;280.10;3.91;267.40;13.87;1.76
0.00;10.06;19.44;1.02;71.70;100.00;26.26;1.36;20.69;5.53;34.53;19.48;2.75
0.00;13.41;20.18;7.80;82.00;100.00;48.97;1.57;9.23;5.06;333.80;18.33;2.60
19.60;14.62;17.31;12.02;88.40;100.00;68.07;7.07;230.40;16.38;223.60;9.92;2.12
0.00;15.94;21.24;12.94;68.83;84.60;41.17;4.51;160.60;9.73;180.60;16.52;4.32
0.00;18.76;29.14;10.20;69.83;100.00;40.21;0.67;181.70;6.36;172.50;23.87;3.90
0.00;12.08;20.11;3.24;55.38;84.40;27.13;1.78;1.74;6.79;0.00;25.12;3.95
0.00;13.71;20.78;7.06;76.20;97.70;44.19;1.47;345.90;5.74;294.00;17.98;3.04
0.00;13.12;21.66;6.26;69.17;100.00;33.38;1.45;86.70;6.66;99.70;19.17;3.33
0.00;21.99;31.01;13.54;56.46;98.20;22.55;1.47;7.58;6.07;354.50;27.91;5.76
0.00;20.11;29.96;11.21;61.64;100.00;23.70;0.77;332.10;4.40;304.40;27.31;4.87
0.00;19.42;28.75;10.55;54.60;100.00;15.24;1.91;54.84;7.09;64.93;28.50;5.97
0.00;15.69;23.25;8.93;65.30;100.00;26.93;1.74;27.26;6.36;0.86;28.22;4.86
1.90;11.45;18.18;5.32;81.00;100.00;40.38;1.70;273.40;7.89;15.36;20.60;3.33
0.00;20.17;27.81;12.68;60.26;90.20;33.57;1.69;272.90;5.88;159.60;24.93;5.21
0.00;22.45;30.08;14.43;64.03;93.80;37.46;0.75;226.70;5.58;188.00;28.55;5.30
0.00;22.14;31.90;11.96;54.59;96.40;19.07;1.00;123.20;5.09;76.10;31.10;5.97
0.00;24.42;33.18;16.97;62.33;93.60;30.35;1.98;127.80;6.51;289.20;28.24;6.61
0.00;18.06;24.74;11.22;65.10;92.50;31.90;1.86;287.90;6.80;266.70;28.91;5.36
0.00;20.35;27.67;11.88;67.36;92.30;35.31;1.51;252.20;5.64;289.70;29.31;5.57
0.00;22.64;28.75;17.71;73.50;100.00;43.97;1.44;216.10;6.14;207.40;28.76;5.59
0.00;23.26;32.51;15.17;68.81;100.00;23.50;1.29;221.40;6.03;198.20;30.65;6.31
0.00;23.64;33.91;12.76;43.14;91.70;14.77;1.68;27.59;7.74;1.14;30.43;6.95
0.00;19.94;25.21;13.83;77.40;100.00;51.65;1.84;237.10;7.10;209.20;23.84;4.51
0.00;21.82;27.27;16.90;62.69;84.20;44.51;1.84;240.90;5.27;236.30;19.04;4.41
0.00;24.28;33.02;17.43;67.46;100.00;37.79;1.26;206.80;6.06;211.80;28.50;5.86
0.00;23.34;31.57;18.92;65.86;96.50;27.59;1.32;198.70;5.02;252.00;18.88;4.68
0.00;28.32;36.47;17.45;41.20;81.20;17.59;3.11;119.40;10.51;125.00;25.93;8.19
0.00;26.88;37.99;18.71;58.47;81.00;26.38;1.00;277.80;4.05;174.90;22.84;5.26
0.00;21.79;28.28;16.16;78.70;100.00;44.98;1.68;206.40;6.98;258.20;23.83;4.61
0.00;25.87;34.03;16.77;55.68;84.90;35.11;1.46;145.80;7.07;142.20;22.78;5.20
0.00;26.64;33.72;18.31;58.48;88.40;38.67;1.73;147.70;7.33;184.70;23.26;5.40
0.00;8.60;17.35;1.76;76.30;96.20;51.98;0.44;355.30;3.71;42.01;9.81;0.86
0.70;13.58;17.84;8.40;88.50;100.00;66.71;3.05;199.10;10.15;226.40;8.31;1.44
0.00;7.73;14.90;0.56;89.00;100.00;63.36;1.05;112.80;4.42;270.30;9.87;0.96
4.00;12.64;16.50;7.32;92.50;100.00;74.00;1.86;271.90;6.67;281.90;6.60;1.01
4.60;20.56;24.25;18.37;88.40;95.70;69.22;2.68;178.70;7.04;119.10;8.85;2.20
0.40;17.40;25.14;12.28;80.20;97.60;43.61;2.63;170.60;9.03;174.90;9.05;3.03
0.00;17.47;24.38;10.60;79.00;99.90;40.75;1.88;155.70;5.93;216.60;18.43;3.24
0.00;21.20;31.57;13.56;61.18;88.70;28.94;0.72;167.50;4.37;194.40;18.07;3.12
0.00;20.49;26.15;15.97;77.20;95.50;55.94;2.00;186.10;7.50;220.40;11.50;2.69
0.10;11.94;17.89;4.78;81.40;100.00;49.50;0.82;199.70;4.80;175.60;11.81;1.36
0.10;15.70;25.88;9.47;79.30;99.90;35.70;0.70;70.70;4.04;97.50;14.03;1.83
0.00;13.23;18.10;6.66;85.90;100.00;44.06;1.47;345.80;5.52;355.10;12.92;1.73
0.00;12.91;18.64;6.86;50.24;69.38;35.67;3.42;32.22;11.34;43.60;14.97;3.13
0.00;13.82;19.25;8.07;92.50;100.00;73.00;1.45;144.00;5.44;209.30;6.86;1.18
0.00;10.55;17.09;3.64;65.87;92.00;45.20;1.91;40.84;6.74;80.80;10.87;1.58
0.00;15.96;21.79;11.34;59.93;78.30;41.51;2.61;104.00;8.22;127.20;9.54;2.50
0.00;13.85;20.38;8.66;90.10;100.00;58.97;0.92;56.37;4.46;323.90;10.12;1.12
1.20;13.73;18.11;6.45;96.40;100.00;72.00;1.91;216.30;8.72;204.60;7.49;1.09
0.00;12.94;21.93;6.12;79.60;100.00;45.94;0.63;355.00;3.70;310.90;10.93;1.10
0.00;10.20;13.75;5.64;63.23;86.00;41.25;4.40;302.80;10.93;287.90;14.91;2.66
0.00;11.79;14.83;7.92;64.53;82.90;52.87;2.67;105.90;8.26;134.60;5.24;1.84
0.10;15.50;17.83;13.75;93.50;100.00;73.30;2.60;255.20;6.64;255.80;4.75;1.27
1.60;9.83;11.76;8.13;94.30;100.00;80.70;2.90;136.70;6.33;152.00;4.55;0.89
0.20;7.31;14.96;1.02;84.10;100.00;48.04;1.49;3.89;7.10;349.30;14.98;1.72
0.00;14.29;19.36;9.26;53.00;65.18;43.58;4.70;110.40;10.77;125.70;20.67;4.32
0.00;14.09;26.20;5.18;73.10;100.00;23.23;0.31;171.70;3.21;165.50;20.10;2.50
0.00;10.94;18.44;2.90;60.35;97.40;24.99;2.19;350.00;7.89;338.20;21.06;3.37
0.00;16.01;29.50;6.06;69.73;97.40;26.86;0.81;41.88;4.46;292.20;20.90;3.37
24.20;15.37;17.58;10.94;94.00;100.00;75.90;5.36;218.50;10.97;200.60;9.02;1.75
0.00;19.25;27.00;12.75;54.56;75.00;32.90;1.89;143.80;6.47;153.70;21.77;4.74
0.00;15.36;23.32;8.46;73.50;96.40;45.52;1.10;167.60;7.26;109.60;24.72;3.82
5.20;12.59;17.91;9.00;92.90;100.00;57.78;1.58;212.40;6.99;242.30;10.21;2.05
0.00;17.84;25.93;10.54;55.20;79.00;31.69;2.35;117.00;7.31;85.30;22.28;4.91
19.00;11.07;14.50;6.60;92.10;100.00;68.16;3.76;240.80;13.37;228.30;4.88;1.52
0.00;22.32;32.35;12.75;62.67;96.00;30.87;0.90;234.10;4.84;277.10;26.87;5.24
0.00;24.24;32.23;15.09;37.54;69.87;21.55;2.85;118.20;9.12;127.10;28.38;7.49
15.40;14.38;18.31;11.21;89.20;100.00;61.54;3.48;170.10;8.58;142.20;9.78;2.37
0.00;16.48;20.86;9.34;76.80;96.20;56.89;1.79;232.90;6.57;237.50;21.13;3.59
0.00;21.33;30.88;11.40;52.01;86.50;18.59;1.35;329.40;5.35;307.00;24.25;5.47
0.00;21.89;28.14;16.70;74.40;100.00;46.39;1.32;226.40;5.31;225.70;25.49;4.98
0.00;22.01;28.88;15.43;71.90;100.00;42.17;1.44;246.30;5.46;290.60;29.51;5.66
0.00;24.63;33.72;15.57;59.21;95.70;33.23;1.45;157.60;5.80;215.40;29.02;6.31
0.00;16.96;22.67;9.47;71.30;96.40;44.94;1.82;243.20;7.36;264.00;27.48;4.69
0.00;25.06;35.37;15.42;59.15;87.40;30.81;1.08;278.30;4.63;292.80;29.39;6.24
0.00;24.15;31.75;17.31;68.99;100.00;29.06;1.72;225.30;5.68;204.70;29.31;6.35
0.00;29.22;38.47;19.98;44.37;82.60;22.69;1.46;236.70;6.46;108.80;28.24;7.06
0.00;24.15;34.23;13.96;61.59;97.20;24.17;1.27;256.00;5.86;283.70;28.79;6.22
0.00;21.51;26.42;15.44;79.20;100.00;56.08;2.66;193.50;6.58;220.00;27.59;5.17
0.00;23.35;33.22;15.36;61.36;87.30;25.30;1.21;220.90;5.19;272.10;27.27;5.73
0.00;27.70;36.58;22.59;64.59;90.10;29.73;2.12;190.80;8.11;191.20;22.30;6.46
0.00;26.69;33.24;20.05;42.84;59.91;26.32;2.57;156.80;9.53;156.80;25.92;7.17
0.00;24.60;32.48;16.84;67.22;97.60;39.74;1.92;150.70;6.32;215.70;27.41;5.98
0.00;24.91;33.72;15.97;61.86;95.50;32.23;1.03;197.00;5.02;229.60;28.26;5.70
0.00;22.26;31.74;14.69;65.08;90.20;26.51;1.21;208.80;6.09;271.50;23.21;4.72
0.00;23.27;32.90;14.83;59.29;84.90;25.17;1.21;223.30;5.98;239.60;22.38;4.77
0.00;22.84;31.81;14.69;64.36;91.40;30.01;1.34;188.20;6.64;239.00;22.67;4.74
0.00;20.21;28.61;11.75;55.11;85.20;16.78;1.38;331.50;5.44;355.10;24.72;4.77
0.00;24.84;33.11;17.18;59.89;91.00;25.98;2.21;82.40;7.21;116.20;22.51;5.77
0.20;13.25;19.64;9.79;89.20;100.00;60.17;1.29;145.30;4.98;211.40;8.87;1.28
0.00;9.27;17.96;2.76;75.90;94.30;47.49;0.80;347.20;4.70;353.30;10.25;1.13
0.00;11.88;19.98;5.18;76.20;100.00;41.38;1.76;44.07;7.24;37.58;10.18;1.80
0.20;9.59;15.10;3.30;87.50;100.00;63.56;1.50;333.20;6.80;331.90;9.91;1.09
3.00;21.57;27.47;16.70;76.40;96.10;45.99;2.93;170.60;12.02;219.30;13.00;3.59
4.20;19.28;24.07;16.16;88.40;100.00;65.64;2.56;188.50;7.54;194.60;11.68;2.40
0.00;17.35;23.78;10.33;77.40;96.40;54.72;2.28;196.60;6.01;238.00;16.16;2.91
0.00;22.25;31.57;13.43;51.76;81.90;28.40;1.25;154.90;5.94;106.00;16.79;3.61
5.60;21.09;25.01;18.38;80.80;100.00;57.42;3.24;175.70;7.85;202.00;12.73;2.98
27.00;16.96;20.65;14.56;89.30;100.00;65.35;3.27;241.90;11.84;228.30;8.28;1.82
0.20;14.86;23.80;7.39;82.20;100.00;43.61;0.38;58.49;2.34;337.20;13.85;1.42
