precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.20;2.04;14.41;-5.81;80.30;100.00;36.52;0.75;69.61;4.90;144.60;10.16;0.78
0.20;1.51;6.26;-4.33;89.00;99.90;74.00;1.97;82.30;11.03;102.40;5.28;0.57
0.00;6.08;11.67;0.37;93.80;100.00;73.70;0.90;147.70;4.66;278.40;6.19;0.56
0.00;20.75;27.04;12.43;70.10;98.30;46.82;2.24;68.52;8.63;104.10;18.93;3.66
0.20;17.48;27.91;8.81;65.86;96.30;23.38;0.90;232.70;6.43;266.60;18.26;3.09
0.00;18.72;27.19;10.62;61.60;94.00;29.70;1.40;205.50;6.62;201.30;19.39;3.51
0.00;23.77;31.78;13.77;44.93;78.40;27.06;1.58;36.73;6.76;47.78;19.02;4.20
0.00;20.44;28.83;11.76;45.53;85.90;23.46;1.68;32.30;6.80;346.80;20.58;4.13
0.00;14.89;23.43;9.41;82.20;98.80;45.96;0.72;99.30;4.86;96.80;11.14;1.55
0.20;17.52;20.84;12.36;64.08;94.00;48.34;6.94;79.10;20.29;86.40;13.19;3.41
0.00;16.05;20.63;8.68;64.31;90.20;51.35;2.39;94.60;7.75;97.90;11.38;2.13
0.00;17.64;22.85;12.36;56.46;70.30;42.41;4.28;113.10;9.88;116.30;12.60;3.75
0.20;9.24;17.24;1.91;86.50;100.00;60.80;1.04;214.80;7.15;253.20;13.22;1.33
0.00;14.04;16.77;11.09;62.61;75.60;52.40;3.37;10.77;10.78;51.11;6.89;2.06
0.00;5.80;15.23;-1.71;73.90;97.60;33.90;1.01;91.40;5.39;141.90;9.01;1.05
0.82;12.58;14.77;11.20;74.51;93.70;64.28;6.09;106.67;11.14;101.90;5.26;1.72
0.00;4.73;13.00;-2.72;73.20;99.90;45.40;1.93;333.40;9.51;51.50;11.04;1.20
0.00;6.74;13.67;0.84;95.60;100.00;79.30;0.81;186.20;3.95;242.20;8.65;0.57
2.01;9.32;12.60;2.17;70.00;94.50;40.63;3.40;287.20;10.51;314.30;10.25;1.90
0.00;6.88;11.20;1.71;57.98;76.50;39.22;2.96;301.70;9.07;325.80;12.62;1.92
0.20;9.22;18.14;2.24;86.80;98.20;59.97;0.69;128.30;2.64;51.73;12.68;1.13
9.84;11.49;13.56;9.81;84.50;99.70;70.10;2.78;157.60;8.21;142.60;2.60;1.04
0.00;6.37;13.47;0.57;73.80;100.00;39.56;2.10;329.40;9.62;327.20;11.57;1.63
0.00;12.85;20.29;6.40;78.90;98.40;52.97;2.03;229.40;6.36;240.60;16.46;2.47
0.00;10.00;19.77;1.92;55.05;86.70;20.91;1.39;219.50;5.60;257.00;18.69;2.75
0.20;8.83;15.96;2.04;84.90;100.00;58.18;1.15;209.20;5.12;218.00;14.66;1.73
10.45;11.18;13.83;4.99;84.40;99.90;59.70;5.12;199.50;14.08;248.80;5.56;1.78
13.06;13.00;16.51;10.15;78.03;91.50;53.08;5.62;153.47;8.69;143.50;3.89;2.51
0.00;16.72;25.90;7.07;47.31;81.50;25.99;1.68;49.03;4.94;57.72;24.81;4.51
0.00;9.36;16.95;1.38;55.01;90.60;22.19;1.79;35.72;7.22;43.45;24.65;3.55
0.00;12.07;18.57;4.46;60.19;99.90;35.57;1.87;328.70;7.52;0.19;21.25;3.30
0.00;12.15;18.77;3.39;66.18;99.40;43.44;2.80;110.30;8.87;127.40;20.78;3.39
0.00;18.21;27.71;8.27;59.62;96.60;26.87;1.06;345.40;5.12;310.50;28.51;4.96
