precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.20;7.63;11.51;2.62;87.50;99.30;74.80;2.93;188.20;7.43;231.80;5.19;0.82
0.20;10.56;11.92;8.42;86.20;92.10;78.30;4.07;220.80;9.34;222.30;2.76;0.98
2.02;11.08;13.33;9.03;85.30;98.80;72.70;3.17;215.80;8.02;251.50;5.04;0.97
0.00;6.87;12.92;1.96;84.90;98.00;57.65;1.56;162.80;5.14;256.70;10.77;0.90
0.20;7.21;14.39;2.28;83.60;97.00;53.71;1.75;159.60;5.67;187.80;10.17;1.10
0.00;7.80;16.01;0.74;66.18;94.00;27.60;1.58;171.20;4.80;174.60;9.11;1.50
0.00;8.19;15.81;2.76;67.53;90.60;38.29;1.10;180.10;4.00;166.00;8.50;1.12
0.00;6.86;13.19;0.74;76.10;95.70;46.77;0.85;100.60;4.23;91.00;7.33;0.83
0.00;6.07;11.38;0.81;92.50;99.30;72.20;1.03;150.90;4.45;145.70;5.47;0.66
0.40;6.37;14.81;-0.48;91.20;99.80;63.88;0.75;126.10;4.95;291.60;7.29;0.73
2.02;6.43;9.16;0.93;83.60;97.50;63.16;2.37;252.20;6.40;277.10;5.50;0.92
0.20;7.22;11.24;3.04;87.30;97.40;77.80;2.84;245.20;10.19;264.70;3.81;0.81
1.41;6.76;9.29;1.34;83.80;97.40;59.57;2.51;232.30;7.48;210.30;6.08;1.02
2.42;4.94;8.49;1.61;88.10;96.30;72.90;3.00;167.30;8.74;146.30;4.22;0.84
3.64;5.30;8.43;2.62;91.10;98.00;79.70;2.37;206.20;7.36;147.50;4.70;0.68
4.04;3.18;5.79;0.46;88.50;97.60;73.60;2.12;262.30;9.08;286.60;3.04;0.67
0.00;4.06;8.88;0.81;79.50;93.60;64.11;2.96;270.60;7.92;272.00;9.89;1.06
4.65;7.08;11.30;4.57;89.80;98.50;62.68;2.42;295.70;6.38;348.40;6.14;1.07
0.20;4.26;10.08;-0.75;79.20;96.00;50.29;1.56;334.40;5.79;329.00;11.42;1.05
0.00;5.92;13.39;-0.95;74.70;94.70;43.91;1.32;288.50;5.85;300.30;10.54;1.20
0.00;8.76;14.93;3.37;77.40;95.90;54.59;2.34;327.30;8.26;335.30;11.01;1.47
0.20;8.85;15.54;-0.01;81.80;99.10;55.95;1.84;256.20;6.88;273.10;10.37;1.32
0.00;8.24;10.96;3.23;70.40;92.40;45.14;4.93;277.10;9.86;254.60;12.18;1.94
0.00;4.84;8.76;-0.28;80.30;90.60;62.50;3.79;235.20;11.72;217.00;7.93;1.25
3.23;4.68;7.00;2.42;79.90;95.00;62.10;3.27;267.30;8.01;282.30;7.61;1.09
0.00;4.05;9.15;-1.55;69.93;92.00;42.71;2.44;283.10;7.69;321.50;12.57;1.44
0.00;7.88;12.06;5.18;79.50;92.10;58.13;2.43;258.10;6.87;290.10;9.09;1.36
0.20;7.55;11.71;-1.30;75.70;94.30;47.24;3.27;267.80;10.62;283.10;8.99;1.66
0.00;1.71;8.86;-4.25;71.00;93.50;38.10;0.95;158.90;3.76;250.90;12.62;1.04
0.00;2.75;8.15;-2.23;74.70;87.20;54.98;2.97;208.20;10.46;232.80;7.97;1.32
1.62;5.00;8.30;0.60;86.20;94.10;77.40;3.40;198.20;11.77;191.60;4.26;0.86
2.22;8.41;11.38;4.78;80.80;96.60;61.95;3.86;242.90;10.78;209.90;6.71;1.40
3.84;9.76;14.34;5.53;84.80;96.70;64.56;4.37;195.40;13.28;194.90;8.28;1.61
0.00;6.18;9.97;2.28;81.20;92.20;61.96;3.84;238.80;8.67;226.90;10.52;1.45
0.61;7.98;11.65;3.23;81.60;95.40;62.30;5.22;234.70;13.12;216.40;6.91;1.57
1.41;4.61;7.67;0.47;67.49;89.40;39.95;6.36;275.80;13.96;254.80;12.59;2.12
3.43;3.38;5.26;-0.35;87.50;99.30;73.50;2.36;218.00;8.22;227.40;2.84;0.72
0.20;6.10;10.84;0.72;93.60;100.00;74.10;1.48;218.30;5.44;227.60;7.07;0.92
1.01;11.58;16.69;6.60;86.30;96.00;64.76;3.27;221.40;8.55;234.50;10.55;1.76
0.20;11.96;15.42;9.97;78.40;95.20;60.90;4.46;208.10;13.09;186.50;8.01;1.90
3.64;6.55;10.45;4.38;90.20;96.70;72.80;1.62;259.50;7.08;183.50;3.62;0.87
0.40;4.94;10.35;-0.54;82.50;98.10;46.02;1.10;195.90;8.16;258.40;8.59;1.19
0.00;4.67;11.23;-2.98;79.10;97.80;45.54;1.12;125.50;4.70;128.20;12.82;1.37
0.20;5.89;10.57;-0.35;77.50;95.30;47.66;1.36;322.80;4.85;333.60;6.91;1.24
0.20;5.15;12.71;-1.48;73.00;93.70;45.20;1.20;268.80;5.94;288.10;15.17;1.58
0.20;7.04;12.38;0.26;83.60;96.10;65.98;1.39;215.10;5.54;227.80;7.98;1.17
0.20;7.18;10.56;0.46;65.45;95.10;39.06;2.54;313.20;6.62;339.20;13.35;1.88
0.00;4.46;12.24;-2.42;73.20;96.20;42.23;1.62;220.50;6.08;277.40;15.59;1.76
0.20;6.70;15.27;-1.29;65.75;98.80;21.71;1.89;152.50;6.88;137.10;16.90;2.42
0.81;7.11;11.45;1.74;76.10;92.60;50.57;2.63;216.60;7.15;215.10;8.45;1.67
0.00;6.24;11.24;1.41;79.30;95.40;57.34;2.25;223.20;7.65;248.40;8.38;1.45
0.81;5.15;10.15;-0.41;69.00;93.40;33.30;2.35;302.70;7.79;340.10;14.43;2.00
0.20;6.06;11.05;-0.88;80.30;98.10;58.84;1.77;225.50;6.60;290.70;6.32;1.24
0.00;8.64;13.46;2.15;73.40;95.40;48.66;4.47;255.30;12.52;262.60;10.04;2.23
3.23;9.41;13.27;5.79;80.20;92.20;67.05;4.90;264.10;12.07;265.60;5.29;1.63
0.00;11.66;15.95;7.94;77.10;91.20;55.95;5.20;269.50;10.53;251.00;13.63;2.60
0.00;8.14;11.78;4.65;61.68;85.00;39.47;6.36;274.50;12.97;267.60;16.75;3.00
0.00;7.23;12.72;0.86;63.65;82.40;38.71;4.44;271.80;9.15;263.60;16.17;2.82
0.00;9.61;16.34;3.50;68.77;95.10;38.42;2.34;322.70;7.34;298.20;18.26;2.68
0.00;9.72;19.37;-0.48;61.07;95.80;22.92;1.40;3.68;7.94;122.60;17.93;2.72
0.00;10.51;18.02;5.52;63.63;90.40;34.69;2.87;106.80;8.59;116.20;18.89;3.22
0.00;11.21;19.43;4.38;45.51;80.70;17.17;3.24;125.00;10.96;101.40;20.62;4.17
0.00;10.50;17.42;4.38;41.09;59.90;22.46;6.28;112.30;13.95;115.80;20.81;5.07
0.00;9.02;17.08;1.76;51.44;81.70;23.94;2.17;94.80;7.50;86.70;20.95;3.22
0.00;9.00;18.23;-2.91;45.90;83.40;17.04;2.25;102.40;10.37;121.00;19.09;3.39
0.00;9.72;15.68;5.79;51.84;75.90;32.13;3.87;119.80;8.78;120.00;18.77;3.57
0.00;7.29;11.77;3.71;73.20;90.30;47.57;1.62;110.10;6.40;113.50;11.60;1.82
0.20;6.59;14.12;0.60;72.90;97.10;35.99;0.96;49.73;4.63;22.39;13.69;1.90
0.00;9.30;18.16;-0.95;57.51;90.90;26.98;1.50;45.40;6.14;46.21;21.00;2.96
0.00;10.85;20.51;0.35;50.06;81.70;24.41;1.36;47.01;6.30;335.40;21.59;3.19
0.00;12.91;23.26;1.76;46.59;76.70;21.29;0.88;138.10;3.66;0.58;21.50;3.08
0.00;14.46;22.46;6.89;43.25;62.98;23.12;1.18;335.10;5.75;314.20;21.13;3.38
0.00;14.06;21.19;6.67;45.23;72.50;25.15;2.56;114.10;8.15;113.10;21.31;4.15
0.00;13.88;21.86;5.84;52.48;76.90;29.00;1.73;186.50;4.85;144.30;20.36;3.58
0.00;12.50;19.58;4.59;60.30;93.00;35.98;1.61;214.60;6.62;248.60;15.49;2.80
0.81;11.50;17.43;5.25;60.04;92.60;30.44;3.67;259.40;9.80;281.50;18.70;3.66
0.00;6.06;12.72;-2.16;50.41;84.80;24.84;1.85;336.60;7.69;284.10;23.42;2.93
0.20;7.43;16.28;-1.62;62.51;89.50;25.64;3.13;243.60;11.19;290.20;15.12;3.32
6.06;7.11;14.07;-0.61;67.83;93.00;40.40;4.36;285.10;15.04;263.40;15.24;2.93
0.00;6.40;11.58;1.81;57.72;86.10;36.34;4.19;317.40;9.66;338.10;18.96;3.00
0.00;6.32;12.79;-2.23;62.92;92.40;33.23;2.02;168.80;7.42;220.70;18.61;2.63
0.00;8.75;15.88;1.13;61.79;84.80;33.15;4.76;113.00;11.86;115.30;19.31;3.78
13.13;8.63;14.14;6.13;82.90;98.50;57.12;4.28;110.30;11.18;84.20;6.88;1.99
0.00;8.95;14.13;6.06;75.60;95.90;48.72;1.85;199.30;5.09;239.40;12.81;2.18
0.20;10.96;17.10;5.93;73.00;94.30;44.72;2.74;173.10;8.63;194.80;12.24;2.69
0.00;13.36;19.18;8.82;56.13;75.40;37.46;4.17;167.10;10.68;177.40;16.51;4.11
2.42;9.84;13.16;6.67;78.00;94.70;47.81;3.55;174.20;10.10;167.00;6.23;2.08
0.00;8.83;13.59;3.64;75.80;96.90;47.44;3.70;272.60;9.68;284.00;18.41;2.81
0.00;9.65;15.14;2.49;71.20;92.00;43.31;3.53;262.80;9.54;297.10;21.89;3.31
1.01;14.24;20.78;10.58;78.40;93.30;46.92;2.23;278.10;7.15;285.90;18.99;3.43
0.20;15.73;23.74;8.08;73.60;99.10;41.70;0.87;132.30;5.18;312.60;23.47;3.62
0.00;17.44;26.84;7.82;63.46;98.40;18.99;1.74;181.70;7.78;262.70;25.36;4.87
0.00;17.47;26.77;7.28;61.31;98.20;31.63;0.89;104.90;4.14;349.00;24.05;3.99
0.40;18.14;26.78;11.32;55.73;84.30;20.69;2.55;151.40;10.47;296.10;21.65;5.28
0.00;19.98;28.80;11.38;42.73;81.30;17.37;2.41;176.90;8.20;197.40;21.54;5.55
0.00;18.69;27.38;11.40;43.93;68.93;19.46;1.84;203.60;8.85;244.10;24.89;5.24
0.00;15.78;23.74;7.55;62.14;87.40;32.26;1.85;33.29;10.30;83.40;24.54;4.42
0.20;15.49;23.00;6.67;62.90;97.40;32.45;1.63;140.00;5.45;117.20;26.00;4.32
0.00;17.42;25.03;9.72;50.64;77.50;28.05;1.91;164.90;7.33;171.20;22.07;4.58
1.21;15.96;23.60;6.75;59.81;89.40;28.33;0.93;166.40;6.16;324.70;18.33;3.35
0.00;17.26;26.16;7.35;55.36;87.70;26.90;0.95;149.10;4.46;0.29;21.90;3.93
0.00;19.30;27.58;9.57;48.61;82.80;20.07;1.12;18.30;5.42;0.19;27.20;4.83
0.00;18.34;27.24;6.28;42.97;77.30;19.94;1.45;215.40;6.35;275.50;26.01;4.93
0.00;16.59;22.14;9.97;64.60;84.20;46.39;2.76;218.30;8.22;226.20;20.44;4.10
1.41;11.75;17.37;6.40;67.41;94.00;34.03;2.76;219.70;8.49;234.40;19.15;3.59
12.12;10.68;13.95;8.21;87.60;97.00;68.35;2.10;235.60;6.64;253.50;8.80;1.71
0.00;11.66;18.17;4.79;71.70;97.50;40.99;1.77;233.30;7.86;279.00;20.22;3.32
0.00;13.00;19.78;5.88;67.80;95.20;37.33;1.65;230.00;7.07;253.90;18.58;3.37
3.03;11.50;17.09;7.08;75.40;96.80;34.97;3.54;230.00;9.94;242.20;17.22;3.59
0.00;10.08;16.42;3.98;59.93;90.50;28.07;3.12;279.00;7.99;278.70;27.76;4.34
